repo_name,file_html,cl,me,stmt_code,parent_code,code,complicate_code,temporary_flag,create_fun_flag,temprorary,func
multi-agent-emergence-environments,https://github.com/openai/multi-agent-emergence-environments/tree/master/ma_policy/ma_policy.py,MAPolicy,__init__$29,"self.pdtypes = {k: make_pdtype(s) for (k, s) in self.ac_space.spaces.items()}","self.pdtypes = {k: make_pdtype(s) for (k, s) in self.ac_space.spaces.items()}","self.pdtypes = {k: make_pdtype(s) for (k, s) in self.ac_space.spaces.items()}","tmp_DictComp0 = dict()
for (k, s) in self.ac_space.spaces.items():
    tmp_DictComp0[k] = make_pdtype(s)
self.pdtypes = tmp_DictComp0",1,0,1,0
altair,https://github.com/altair-viz/altair/tree/master/altair/tests/test_magics.py,,test_vega_magic_pandas_data_renamed$172,"spec = {key: val for (key, val) in VEGA_SPEC.items() if key != 'data'}","spec = {key: val for (key, val) in VEGA_SPEC.items() if key != 'data'}","spec = {key: val for (key, val) in VEGA_SPEC.items() if key != 'data'}","spec = dict()
for (key, val) in VEGA_SPEC.items():
    if key != 'data':
        spec[key] = val
",0,0,0,0
nextcord,https://github.com/nextcord/nextcord/tree/master/nextcord/http.py,HTTPClient,create_event$2392,"payload = {k: v for (k, v) in payload.items() if k in valid_keys}","payload = {k: v for (k, v) in payload.items() if k in valid_keys}","payload = {k: v for (k, v) in payload.items() if k in valid_keys}","tmp_DictComp0 = dict()
for (k, v) in payload.items():
    if k in valid_keys:
        tmp_DictComp0[k] = v
payload = tmp_DictComp0",1,0,1,0
holoviews,https://github.com/holoviz/holoviews/tree/master/holoviews/tests/plotting/bokeh/test_overlayplot.py,TestLegends,test_dynamicmap_legend_updates$334,"hmap = HoloMap({i: Curve([1, 2, 3], label=chr(65 + i + 2)) * Curve([1, 2, 3], label='B') for i in range(3)})","HoloMap({i: Curve([1, 2, 3], label=chr(65 + i + 2)) * Curve([1, 2, 3], label='B') for i in range(3)})","HoloMap({i: Curve([1, 2, 3], label=chr(65 + i + 2)) * Curve([1, 2, 3], label='B') for i in range(3)})","tmp_DictComp0 = dict()
for i in range(3):
    tmp_DictComp0[i] = Curve([1, 2, 3], label=chr(65 + i + 2)) * Curve([1, 2, 3], label='B')
hmap = HoloMap(tmp_DictComp0)",1,0,1,0
maro,https://github.com/microsoft/maro/tree/master/maro/communication/proxy.py,Proxy,_get_peers_list$250,self._onboard_peer_dict[peer_type] = {peer_name: None for peer_name in registered_peers},self._onboard_peer_dict[peer_type] = {peer_name: None for peer_name in registered_peers},self._onboard_peer_dict[peer_type] = {peer_name: None for peer_name in registered_peers},"self._onboard_peer_dict[peer_type] = dict()
for peer_name in registered_peers:
    self._onboard_peer_dict[peer_type][peer_name] = None
",0,0,0,0
ParlAI,https://github.com/facebookresearch/ParlAI/tree/master/parlai/crowdsourcing/projects/multisession_chat/human_eval/compile_results.py,ModelChatResultsCompiler,compile_results$84,"df = df.append({'folder': info_dict['read_folder_name'], 'file_name': info_dict['file_name'], 'worker_id': info_dict['worker'], 'hit_id': info_dict['hit_id'], 'is_incomplete': info_dict['is_incomplete'], 'context_info': info_dict['context_info'], 'initial_data_id': info_dict['initial_task_data'], 'acceptability_violations_0': info_dict['acceptability_violations_0'], 'model_nickname': model_nickname, 'conversation_idx': conversation_idx, 'turn_idx': -1, 'agent_idx': 0, 'text': info_dict['context_info']['observation_for_bot']['text'], **{bucket: '' for bucket in self.problem_buckets}}, ignore_index=True)","{'folder': info_dict['read_folder_name'], 'file_name': info_dict['file_name'], 'worker_id': info_dict['worker'], 'hit_id': info_dict['hit_id'], 'is_incomplete': info_dict['is_incomplete'], 'context_info': info_dict['context_info'], 'initial_data_id': info_dict['initial_task_data'], 'acceptability_violations_0': info_dict['acceptability_violations_0'], 'model_nickname': model_nickname, 'conversation_idx': conversation_idx, 'turn_idx': -1, 'agent_idx': 0, 'text': info_dict['context_info']['observation_for_bot']['text'], **{bucket: '' for bucket in self.problem_buckets}}","{'folder': info_dict['read_folder_name'], 'file_name': info_dict['file_name'], 'worker_id': info_dict['worker'], 'hit_id': info_dict['hit_id'], 'is_incomplete': info_dict['is_incomplete'], 'context_info': info_dict['context_info'], 'initial_data_id': info_dict['initial_task_data'], 'acceptability_violations_0': info_dict['acceptability_violations_0'], 'model_nickname': model_nickname, 'conversation_idx': conversation_idx, 'turn_idx': -1, 'agent_idx': 0, 'text': info_dict['context_info']['observation_for_bot']['text'], **{bucket: '' for bucket in self.problem_buckets}}","tmp_DictComp0 = dict()
for bucket in self.problem_buckets:
    tmp_DictComp0[bucket] = ''
df = df.append({'folder': info_dict['read_folder_name'], 'file_name': info_dict['file_name'], 'worker_id': info_dict['worker'], 'hit_id': info_dict['hit_id'], 'is_incomplete': info_dict['is_incomplete'], 'context_info': info_dict['context_info'], 'initial_data_id': info_dict['initial_task_data'], 'acceptability_violations_0': info_dict['acceptability_violations_0'], 'model_nickname': model_nickname, 'conversation_idx': conversation_idx, 'turn_idx': -1, 'agent_idx': 0, 'text': info_dict['context_info']['observation_for_bot']['text'], **tmp_DictComp0}, ignore_index=True)",1,0,1,0
pyro,https://github.com/pyro-ppl/pyro/tree/master/pyro/infer/mcmc/util.py,,select_samples$778,"samples = {k: v.reshape((-1,) + v.shape[2:]) for (k, v) in samples.items()}","samples = {k: v.reshape((-1,) + v.shape[2:]) for (k, v) in samples.items()}","samples = {k: v.reshape((-1,) + v.shape[2:]) for (k, v) in samples.items()}","tmp_DictComp0 = dict()
for (k, v) in samples.items():
    tmp_DictComp0[k] = v.reshape((-1,) + v.shape[2:])
samples = tmp_DictComp0",1,0,1,0
wagtail,https://github.com/wagtail/wagtail/tree/master/wagtail/admin/tests/test_workflows.py,TestWorkflowsCreateView,test_permissions$216,"full_context = {key: value for context in response.context for (key, value) in context.items()}","full_context = {key: value for context in response.context for (key, value) in context.items()}","full_context = {key: value for context in response.context for (key, value) in context.items()}","full_context = dict()
for context in response.context:
    for (key, value) in context.items():
        full_context[key] = value
",0,0,0,0
PPLM,https://github.com/uber-research/PPLM/tree/master/paper_code/pytorch_pretrained_bert/tokenization_gpt2.py,GPT2Tokenizer,set_special_tokens$167,"self.special_tokens_decoder = {v: k for (k, v) in self.special_tokens.items()}","self.special_tokens_decoder = {v: k for (k, v) in self.special_tokens.items()}","self.special_tokens_decoder = {v: k for (k, v) in self.special_tokens.items()}","tmp_DictComp0 = dict()
for (k, v) in self.special_tokens.items():
    tmp_DictComp0[v] = k
self.special_tokens_decoder = tmp_DictComp0",1,0,1,0
evalml,https://github.com/alteryx/evalml/tree/master/evalml/pipelines/components/transformers/preprocessing/featuretools.py,DFSTransformer,fit$45,X_ww = X_ww.ww.rename({col: str(col) for col in X_ww.columns}),X_ww.ww.rename({col: str(col) for col in X_ww.columns}),X_ww.ww.rename({col: str(col) for col in X_ww.columns}),"def my_comprehension_func(X_ww):
    tmp_DictComp0 = dict()
    for col in X_ww.columns:
        tmp_DictComp0[col] = str(col)
    return tmp_DictComp0
X_ww = X_ww.ww.rename(my_comprehension_func(X_ww))",1,1,1,0
mara-pipelines,https://github.com/mara/mara-pipelines/tree/master/mara_pipelines/incremental_processing/processed_files.py,,already_processed_files$45,return {row[0]: row[1] for row in cursor.fetchall()},return {row[0]: row[1] for row in cursor.fetchall()},return {row[0]: row[1] for row in cursor.fetchall()},"tmp_DictComp0 = dict()
for row in cursor.fetchall():
    tmp_DictComp0[row[0]] = row[1]
return tmp_DictComp0",1,0,1,0
mlrun,https://github.com/mlrun/mlrun/tree/master/mlrun/frameworks/_common/mlrun_interface.py,MLRunInterface,_get_function_argument$417,"func_parameters = {parameter_name: i for (i, parameter_name) in enumerate(inspect.signature(func).parameters.keys())}","func_parameters = {parameter_name: i for (i, parameter_name) in enumerate(inspect.signature(func).parameters.keys())}","func_parameters = {parameter_name: i for (i, parameter_name) in enumerate(inspect.signature(func).parameters.keys())}","func_parameters = dict()
for (i, parameter_name) in enumerate(inspect.signature(func).parameters.keys()):
    func_parameters[parameter_name] = i
",0,0,0,0
sparseml,https://github.com/neuralmagic/sparseml/tree/master/src/sparseml/pytorch/utils/helpers.py,,tensors_to_device$267,"return {key: tensors_to_device(tens, device) for (key, tens) in tensors.items()}","return {key: tensors_to_device(tens, device) for (key, tens) in tensors.items()}","return {key: tensors_to_device(tens, device) for (key, tens) in tensors.items()}","tmp_DictComp0 = dict()
for (key, tens) in tensors.items():
    tmp_DictComp0[key] = tensors_to_device(tens, device)
return tmp_DictComp0",1,0,1,0
elasticsearch-dsl-py,https://github.com/elastic/elasticsearch-dsl-py/tree/master/elasticsearch_dsl/response/aggs.py,BucketData,buckets$57,bs = AttrDict({k: self._wrap_bucket(bs[k]) for k in bs}),AttrDict({k: self._wrap_bucket(bs[k]) for k in bs}),AttrDict({k: self._wrap_bucket(bs[k]) for k in bs}),"tmp_DictComp0 = dict()
for k in bs:
    tmp_DictComp0[k] = self._wrap_bucket(bs[k])
bs = AttrDict(tmp_DictComp0)",1,0,1,0
python-slack-sdk,https://github.com/slackapi/python-slack-sdk/tree/master/slack/web/async_internal_utils.py,,_build_req_args$89,"files = {k: v for (k, v) in files.items() if v is not None}","files = {k: v for (k, v) in files.items() if v is not None}","files = {k: v for (k, v) in files.items() if v is not None}","tmp_DictComp0 = dict()
for (k, v) in files.items():
    if v is not None:
        tmp_DictComp0[k] = v
files = tmp_DictComp0",1,0,1,0
neural-doodle,https://github.com/alexjc/neural-doodle/tree/master//doodle.py,NeuralGenerator,prepare_optimization$364,self.matcher_inputs = {self.model.network['dup' + l]: self.matcher_tensors[l] for l in self.style_layers},self.matcher_inputs = {self.model.network['dup' + l]: self.matcher_tensors[l] for l in self.style_layers},self.matcher_inputs = {self.model.network['dup' + l]: self.matcher_tensors[l] for l in self.style_layers},"tmp_DictComp0 = dict()
for l in self.style_layers:
    tmp_DictComp0[self.model.network['dup' + l]] = self.matcher_tensors[l]
self.matcher_inputs = tmp_DictComp0",1,0,1,0
pycolab,https://github.com/deepmind/pycolab/tree/master/pycolab/ascii_art.py,,ascii_art_to_game$31,update_group_for.update({character: group_id for character in update_group}),update_group_for.update({character: group_id for character in update_group}),update_group_for.update({character: group_id for character in update_group}),"tmp_DictComp0 = dict()
for character in update_group:
    tmp_DictComp0[character] = group_id
update_group_for.update(tmp_DictComp0)",1,0,1,0
nlp-recipes,https://github.com/microsoft/nlp-recipes/tree/master/utils_nlp/eval/question_answering.py,,evaluate_qa$210,"qid_to_has_ans = {qa_id: bool(ans) for (qa_id, ans) in zip(qa_ids, actuals)}","qid_to_has_ans = {qa_id: bool(ans) for (qa_id, ans) in zip(qa_ids, actuals)}","qid_to_has_ans = {qa_id: bool(ans) for (qa_id, ans) in zip(qa_ids, actuals)}","qid_to_has_ans = dict()
for (qa_id, ans) in zip(qa_ids, actuals):
    qid_to_has_ans[qa_id] = bool(ans)
",0,0,0,0
deep-person-reid,https://github.com/KaiyangZhou/deep-person-reid/tree/master/torchreid/models/resnet_ibn_a.py,,init_pretrained_weights$267,"pretrain_dict = {k: v for (k, v) in pretrain_dict.items() if k in model_dict and model_dict[k].size() == v.size()}","pretrain_dict = {k: v for (k, v) in pretrain_dict.items() if k in model_dict and model_dict[k].size() == v.size()}","pretrain_dict = {k: v for (k, v) in pretrain_dict.items() if k in model_dict and model_dict[k].size() == v.size()}","tmp_DictComp0 = dict()
for (k, v) in pretrain_dict.items():
    if k in model_dict and model_dict[k].size() == v.size():
        tmp_DictComp0[k] = v
pretrain_dict = tmp_DictComp0",1,0,1,0
indico,https://github.com/indico/indico/tree/master/indico/modules/events/registration/clone.py,RegistrationFormCloner,run$38,"new_form = RegistrationForm(**{attr: getattr(old_form, attr) for attr in attrs})","**{attr: getattr(old_form, attr) for attr in attrs}","**{attr: getattr(old_form, attr) for attr in attrs}","tmp_DictComp0 = dict()
for attr in attrs:
    tmp_DictComp0[attr] = getattr(old_form, attr)
new_form = RegistrationForm(**tmp_DictComp0)",1,0,1,0
qlib,https://github.com/microsoft/qlib/tree/master/qlib/contrib/report/graph.py,BaseGraph,_init_parameters$58,self._name_dict = {_item: _item for _item in self._df.columns},self._name_dict = {_item: _item for _item in self._df.columns},self._name_dict = {_item: _item for _item in self._df.columns},"tmp_DictComp0 = dict()
for _item in self._df.columns:
    tmp_DictComp0[_item] = _item
self._name_dict = tmp_DictComp0",1,0,1,0
PhiFlow,https://github.com/tum-pbs/PhiFlow/tree/master/phi/vis/_user_namespace.py,ModuleNamespace,list_variables$76,"variables = {n: v for (n, v) in variables.items() if is_value(v) or inspect.getmodule(v) == self.module}","variables = {n: v for (n, v) in variables.items() if is_value(v) or inspect.getmodule(v) == self.module}","variables = {n: v for (n, v) in variables.items() if is_value(v) or inspect.getmodule(v) == self.module}","tmp_DictComp0 = dict()
for (n, v) in variables.items():
    if is_value(v) or inspect.getmodule(v) == self.module:
        tmp_DictComp0[n] = v
variables = tmp_DictComp0",1,0,1,0
monoid,https://github.com/larsenwork/monoid/tree/master/Scripts/fontbuilder.py,,Variation$169,sfnt_dict = {sfnt[1]: sfnt[2] for sfnt in fnt.sfnt_names if sfnt[0] == 'English (US)'},sfnt_dict = {sfnt[1]: sfnt[2] for sfnt in fnt.sfnt_names if sfnt[0] == 'English (US)'},sfnt_dict = {sfnt[1]: sfnt[2] for sfnt in fnt.sfnt_names if sfnt[0] == 'English (US)'},"sfnt_dict = dict()
for sfnt in fnt.sfnt_names:
    if sfnt[0] == 'English (US)':
        sfnt_dict[sfnt[1]] = sfnt[2]
",0,0,0,0
indico,https://github.com/indico/indico/tree/master/indico/util/suggestions.py,,get_category_scores$108,"return {categ: _get_category_score(user, categ, events, debug) for (categ, events) in categ_events.items()}","return {categ: _get_category_score(user, categ, events, debug) for (categ, events) in categ_events.items()}","return {categ: _get_category_score(user, categ, events, debug) for (categ, events) in categ_events.items()}","tmp_DictComp0 = dict()
for (categ, events) in categ_events.items():
    tmp_DictComp0[categ] = _get_category_score(user, categ, events, debug)
return tmp_DictComp0",1,0,1,0
sac,https://github.com/haarnoja/sac/tree/master/examples/mujoco_all_sac_lsp_hierarchy.py,,run_experiment$250,"env_args = {name.replace('env_', '', 1): value for (name, value) in variant.items() if name.startswith('env_') and name != 'env_name'}","env_args = {name.replace('env_', '', 1): value for (name, value) in variant.items() if name.startswith('env_') and name != 'env_name'}","env_args = {name.replace('env_', '', 1): value for (name, value) in variant.items() if name.startswith('env_') and name != 'env_name'}","env_args = dict()
for (name, value) in variant.items():
    if name.startswith('env_') and name != 'env_name':
        env_args[name.replace('env_', '', 1)] = value
",0,0,0,0
bindsnet,https://github.com/BindsNET/bindsnet/tree/master/bindsnet/network/monitors.py,NetworkMonitor,reset_state_variables$260,self.recording = {k: {} for k in self.layers + self.connections},self.recording = {k: {} for k in self.layers + self.connections},self.recording = {k: {} for k in self.layers + self.connections},"tmp_DictComp0 = dict()
for k in self.layers + self.connections:
    tmp_DictComp0[k] = {}
self.recording = tmp_DictComp0",1,0,1,0
PhiFlow,https://github.com/tum-pbs/PhiFlow/tree/master/tests/release/plasma/numpy_reference.py,Namespace,__add__$37,"return Namespace({key: other[key] + val for (key, val) in self.items()})","Namespace({key: other[key] + val for (key, val) in self.items()})","Namespace({key: other[key] + val for (key, val) in self.items()})","tmp_DictComp0 = dict()
for (key, val) in self.items():
    tmp_DictComp0[key] = other[key] + val
return Namespace(tmp_DictComp0)",1,0,1,0
zipline,https://github.com/quantopian/zipline/tree/master/tests/pipeline/test_events.py,EventsLoaderTestCase,test_load_with_trading_calendar$428,"results = self.engine.run_pipeline(Pipeline({c.name: c.latest for c in EventDataSet_US.columns}), start_date=self.trading_days[0], end_date=self.trading_days[-1])",Pipeline({c.name: c.latest for c in EventDataSet_US.columns}),Pipeline({c.name: c.latest for c in EventDataSet_US.columns}),"tmp_DictComp0 = dict()
for c in EventDataSet_US.columns:
    tmp_DictComp0[c.name] = c.latest
results = self.engine.run_pipeline(Pipeline(tmp_DictComp0), start_date=self.trading_days[0], end_date=self.trading_days[-1])",1,0,1,0
Dryvo,https://github.com/AdamGold/Dryvo/tree/master/server/api/database/models/appointment.py,Appointment,update_only_changed_fields$80,"args = {k: v for (k, v) in kwargs.items() if v or isinstance(v, bool)}","args = {k: v for (k, v) in kwargs.items() if v or isinstance(v, bool)}","args = {k: v for (k, v) in kwargs.items() if v or isinstance(v, bool)}","args = dict()
for (k, v) in kwargs.items():
    if v or isinstance(v, bool):
        args[k] = v
",0,0,0,0
audio,https://github.com/pytorch/audio/tree/master/examples/hubert/utils/common_utils.py,,_get_id2label$99,"return {i: char.lower() for (i, char) in enumerate(labels)}","return {i: char.lower() for (i, char) in enumerate(labels)}","return {i: char.lower() for (i, char) in enumerate(labels)}","tmp_DictComp0 = dict()
for (i, char) in enumerate(labels):
    tmp_DictComp0[i] = char.lower()
return tmp_DictComp0",1,0,1,0
horizon,https://github.com/openstack/horizon/tree/master/openstack_dashboard/api/glance.py,Image,to_dict$97,"image_dict['properties'] = {k: self._apiresource[k] for k in self._apiresource if self.property_visible(k, show_ext_attrs=show_ext_attrs)}","image_dict['properties'] = {k: self._apiresource[k] for k in self._apiresource if self.property_visible(k, show_ext_attrs=show_ext_attrs)}","image_dict['properties'] = {k: self._apiresource[k] for k in self._apiresource if self.property_visible(k, show_ext_attrs=show_ext_attrs)}","image_dict['properties'] = dict()
for k in self._apiresource:
    if self.property_visible(k, show_ext_attrs=show_ext_attrs):
        image_dict['properties'][k] = self._apiresource[k]
",0,0,0,0
