repo_name,file_html,cl,me,stmt_code,parent_code,code,complicate_code,temporary_flag,create_fun_flag,tempor,func
qiskit-terra,https://github.com/Qiskit/qiskit-terra/tree/master/qiskit/circuit/quantumcircuit.py,QuantumCircuit,_unique_register_name$1549,"used = {reg.name[len(prefix):] for reg in itertools.chain(self.qregs, self.cregs) if reg.name.startswith(prefix)}","used = {reg.name[len(prefix):] for reg in itertools.chain(self.qregs, self.cregs) if reg.name.startswith(prefix)}","used = {reg.name[len(prefix):] for reg in itertools.chain(self.qregs, self.cregs) if reg.name.startswith(prefix)}","used = set()
for reg in itertools.chain(self.qregs, self.cregs):
    if reg.name.startswith(prefix):
        used.add(reg.name[len(prefix):])
",0,0,0,0
Montreal-Forced-Aligner,https://github.com/MontrealCorpusTools/Montreal-Forced-Aligner/tree/master/montreal_forced_aligner/data.py,,voiced_variants$151,"return {base_phone + d for d in ['', '珂', '痂', '袈', '겳', '', '']} | {d + base_phone for d in ['겳']}","{base_phone + d for d in ['', '珂', '痂', '袈', '겳', '', '']} | {d + base_phone for d in ['겳']}","{base_phone + d for d in ['', '珂', '痂', '袈', '겳', '', '']} | {d + base_phone for d in ['겳']}","def my_comprehension_func(base_phone):
    tmp_SetComp0 = []
    for d in ['', '珂', '痂', '袈', '겳', '', '']:
        tmp_SetComp0.add(base_phone + d)
    return tmp_SetComp0
return my_comprehension_func(base_phone) | {d + base_phone for d in ['겳']}",1,1,1,0
d2l-en,https://github.com/d2l-ai/d2l-en/tree/master/d2l/mxnet.py,CTRDataset,__init__$2752,"feat_mapper = {i: {feat for (feat, c) in cnt.items() if c >= min_threshold} for (i, cnt) in feat_cnts.items()}","{i: {feat for (feat, c) in cnt.items() if c >= min_threshold} for (i, cnt) in feat_cnts.items()}","{i: {feat for (feat, c) in cnt.items() if c >= min_threshold} for (i, cnt) in feat_cnts.items()}","def my_comprehension_func(cnt):
    tmp_SetComp0 = []
    for (feat, c) in cnt.items():
        if c >= min_threshold:
            tmp_SetComp0.add(feat)
    return tmp_SetComp0
feat_mapper = {i: {feat for (feat, c) in cnt.items() if c >= min_threshold} for (i, cnt) in feat_cnts.items()}",1,1,1,1
optuna,https://github.com/optuna/optuna/tree/master/tests/multi_objective_tests/test_study.py,,test_pareto_front$66,assert {tuple(t.values) for t in study.get_pareto_front_trials()} == set(),{tuple(t.values) for t in study.get_pareto_front_trials()} == set(),{tuple(t.values) for t in study.get_pareto_front_trials()} == set(),"tmp_SetComp0 = set()
for t in study.get_pareto_front_trials():
    tmp_SetComp0.add(tuple(t.values))
assert tmp_SetComp0 == set()",1,0,1,0
distributed,https://github.com/dask/distributed/tree/master/distributed/scheduler.py,TaskPrefix,types$1015,return {typ for tg in self.groups for typ in tg.types},return {typ for tg in self.groups for typ in tg.types},return {typ for tg in self.groups for typ in tg.types},"tmp_SetComp0 = set()
for tg in self.groups:
    for typ in tg.types:
        tmp_SetComp0.add(typ)
return tmp_SetComp0",1,0,1,0
lightning-flash,https://github.com/PyTorchLightning/lightning-flash/tree/master/flash/video/classification/data.py,VideoClassificationFilesInput,load_data$167,self.labels_set = {label for label_list in labels for label in label_list},self.labels_set = {label for label_list in labels for label in label_list},self.labels_set = {label for label_list in labels for label in label_list},"self.labels_set = set()
for label_list in labels:
    for label in label_list:
        self.labels_set.add(label)
",0,0,0,0
swift,https://github.com/openstack/swift/tree/master/test/unit/proxy/controllers/test_obj.py,TestECObjControllerMimePutter,_test_PUT_with_body$6247,timestamps = {captured_req['x-timestamp'] for captured_req in put_requests.values()},timestamps = {captured_req['x-timestamp'] for captured_req in put_requests.values()},timestamps = {captured_req['x-timestamp'] for captured_req in put_requests.values()},"timestamps = set()
for captured_req in put_requests.values():
    timestamps.add(captured_req['x-timestamp'])
",0,0,0,0
pyglossary,https://github.com/ilius/pyglossary/tree/master/pyglossary/glossary.py,Glossary,updateEntryFilters$223,self._entryFiltersName = {entryFilter.name for entryFilter in entryFilters},self._entryFiltersName = {entryFilter.name for entryFilter in entryFilters},self._entryFiltersName = {entryFilter.name for entryFilter in entryFilters},"self._entryFiltersName = set()
for entryFilter in entryFilters:
    self._entryFiltersName.add(entryFilter.name)
",0,0,0,0
djongo,https://github.com/nesdis/djongo/tree/master/tests/django_tests/tests/v22/tests/model_fields/test_field_flags.py,FieldFlagsTests,test_cardinality_o2o$190,"self.assertEqual(ONE_TO_ONE_CLASSES, {f.__class__ for f in o2o_type_fields})","self.assertEqual(ONE_TO_ONE_CLASSES, {f.__class__ for f in o2o_type_fields})","self.assertEqual(ONE_TO_ONE_CLASSES, {f.__class__ for f in o2o_type_fields})","tmp_SetComp0 = set()
for f in o2o_type_fields:
    tmp_SetComp0.add(f.__class__)
self.assertEqual(ONE_TO_ONE_CLASSES, tmp_SetComp0)",1,0,1,0
diff_cover,https://github.com/Bachmann1234/diff_cover/tree/master/diff_cover/violationsreporters/violations_reporter.py,XmlCoverageReporter,_cache_file$169,"violations = violations & {Violation(int(line.get(_number)), None) for line in line_nodes if int(line.get(_hits, 0)) == 0}","violations & {Violation(int(line.get(_number)), None) for line in line_nodes if int(line.get(_hits, 0)) == 0}","violations & {Violation(int(line.get(_number)), None) for line in line_nodes if int(line.get(_hits, 0)) == 0}","tmp_SetComp0 = set()
for line in line_nodes:
    if int(line.get(_hits, 0)) == 0:
        tmp_SetComp0.add(Violation(int(line.get(_number)), None))
violations = violations & tmp_SetComp0",1,0,1,0
synapse,https://github.com/matrix-org/synapse/tree/master/scripts-dev/release.py,,_upload$433,"ignored_asset_names = sorted({asset.name for asset in all_assets} - {asset_name for (asset_name, _) in asset_names_and_urls})","{asset.name for asset in all_assets} - {asset_name for (asset_name, _) in asset_names_and_urls}","{asset.name for asset in all_assets} - {asset_name for (asset_name, _) in asset_names_and_urls}","tmp_SetComp0 = set()
for asset in all_assets:
    tmp_SetComp0.add(asset.name)
ignored_asset_names = sorted(tmp_SetComp0 - {asset_name for (asset_name, _) in asset_names_and_urls})",1,0,1,0
anaconda,https://github.com/DamnWidget/anaconda/tree/master/anaconda_lib/jedi/api/completion.py,,_remove_duplicates$98,names = {d.name for d in other_completions},names = {d.name for d in other_completions},names = {d.name for d in other_completions},"names = set()
for d in other_completions:
    names.add(d.name)
",0,0,0,0
detectron2,https://github.com/facebookresearch/detectron2/tree/master/tests/modeling/test_model_e2e.py,,hook$34,dtypes = {x.dtype for x in flatten(output)},dtypes = {x.dtype for x in flatten(output)},dtypes = {x.dtype for x in flatten(output)},"dtypes = set()
for x in flatten(output):
    dtypes.add(x.dtype)
",0,0,0,0
dulwich,https://github.com/dulwich/dulwich/tree/master/dulwich/line_ending.py,TreeBlobNormalizer,__init__$288,"self.existing_paths = {name for (name, _, _) in object_store.iter_tree_contents(tree)}","self.existing_paths = {name for (name, _, _) in object_store.iter_tree_contents(tree)}","self.existing_paths = {name for (name, _, _) in object_store.iter_tree_contents(tree)}","self.existing_paths = set()
for (name, _, _) in object_store.iter_tree_contents(tree):
    self.existing_paths.add(name)
",0,0,0,0
pretix,https://github.com/pretix/pretix/tree/master/src/pretix/base/services/quotas.py,QuotaAvailability,_compute_carts$398,"cart_lookup = CartPosition.objects.filter(Q(event_id__in=events) & seq & Q(expires__gte=now_dt) & Q(Q(voucher__isnull=True) | Q(voucher__block_quota=False) | Q(voucher__valid_until__lt=now_dt)) & Q(Q(Q(variation_id__isnull=True) & Q(item_id__in={i['item_id'] for i in q_items if self._quota_objects[i['quota_id']] in quotas})) | Q(variation_id__in={i['itemvariation_id'] for i in q_vars if self._quota_objects[i['quota_id']] in quotas}))).order_by().values('item_id', 'subevent_id', 'variation_id').annotate(c=Count('*'))",variation_id__in={i['itemvariation_id'] for i in q_vars if self._quota_objects[i['quota_id']] in quotas},variation_id__in={i['itemvariation_id'] for i in q_vars if self._quota_objects[i['quota_id']] in quotas},"def my_comprehension_func(quotas, self):
    tmp_SetComp0 = []
    for i in q_vars:
        if self._quota_objects[i['quota_id']] in quotas:
            tmp_SetComp0.add(i['itemvariation_id'])
    return tmp_SetComp0
cart_lookup = CartPosition.objects.filter(Q(event_id__in=events) & seq & Q(expires__gte=now_dt) & Q(Q(voucher__isnull=True) | Q(voucher__block_quota=False) | Q(voucher__valid_until__lt=now_dt)) & Q(Q(Q(variation_id__isnull=True) & Q(item_id__in={i['item_id'] for i in q_items if self._quota_objects[i['quota_id']] in quotas})) | Q(variation_id__in=my_comprehension_func(quotas, self)))).order_by().values('item_id', 'subevent_id', 'variation_id').annotate(c=Count('*'))",1,1,1,0
alembic,https://github.com/sqlalchemy/alembic/tree/master/alembic/runtime/migration.py,RevisionStep,merge_branch_idents$1137,"ancestors = {r.revision for r in self.revision_map._get_ancestor_nodes(self.revision_map.get_revisions(other_heads), check=False)}","ancestors = {r.revision for r in self.revision_map._get_ancestor_nodes(self.revision_map.get_revisions(other_heads), check=False)}","ancestors = {r.revision for r in self.revision_map._get_ancestor_nodes(self.revision_map.get_revisions(other_heads), check=False)}","ancestors = set()
for r in self.revision_map._get_ancestor_nodes(self.revision_map.get_revisions(other_heads), check=False):
    ancestors.add(r.revision)
",0,0,0,0
checkmk,https://github.com/tribe29/checkmk/tree/master/cmk/gui/watolib/services.py,,_make_host_audit_log_object$458,return {v[0] for v in checks.values()},return {v[0] for v in checks.values()},return {v[0] for v in checks.values()},"tmp_SetComp0 = set()
for v in checks.values():
    tmp_SetComp0.add(v[0])
return tmp_SetComp0",1,0,1,0
Montreal-Forced-Aligner,https://github.com/MontrealCorpusTools/Montreal-Forced-Aligner/tree/master/montreal_forced_aligner/data.py,PhoneSetType,triphthong_phones$926,"triphthongs |= {x + y for (x, y) in itertools.product(self.diphthong_phones, self.glides)}","triphthongs |= {x + y for (x, y) in itertools.product(self.diphthong_phones, self.glides)}","triphthongs |= {x + y for (x, y) in itertools.product(self.diphthong_phones, self.glides)}","tmp_SetComp0 = set()
for (x, y) in itertools.product(self.diphthong_phones, self.glides):
    tmp_SetComp0.add(x + y)
triphthongs |= tmp_SetComp0",1,0,1,0
Watchdog,https://github.com/CTF-MissFeng/Watchdog/tree/master/client/subdomain/oneforall/common/utils.py,,mark_subdomain$267,old_subdomains = {item.get('subdomain') for item in old_data},old_subdomains = {item.get('subdomain') for item in old_data},old_subdomains = {item.get('subdomain') for item in old_data},"old_subdomains = set()
for item in old_data:
    old_subdomains.add(item.get('subdomain'))
",0,0,0,0
great_expectations,https://github.com/great-expectations/great_expectations/tree/master/great_expectations/expectations/metrics/column_pair_map_metrics/column_pair_values_in_set.py,ColumnPairValuesInSet,_pandas$31,"value_pairs_set = {(x, y) for (x, y) in value_pairs_set}","value_pairs_set = {(x, y) for (x, y) in value_pairs_set}","value_pairs_set = {(x, y) for (x, y) in value_pairs_set}","tmp_SetComp0 = set()
for (x, y) in value_pairs_set:
    tmp_SetComp0.add((x, y))
value_pairs_set = tmp_SetComp0",1,0,1,0
pykeen,https://github.com/pykeen/pykeen/tree/master/tests/test_sampling/test_negative_samplers.py,PseudoTypedNegativeSamplerTest,test_corrupt_batch$64,"er_negative = {(r, e) for (r, e) in negative_batch.view(-1, 3)[:, [1, entity_pos]].tolist()}","er_negative = {(r, e) for (r, e) in negative_batch.view(-1, 3)[:, [1, entity_pos]].tolist()}","er_negative = {(r, e) for (r, e) in negative_batch.view(-1, 3)[:, [1, entity_pos]].tolist()}","er_negative = set()
for (r, e) in negative_batch.view(-1, 3)[:, [1, entity_pos]].tolist():
    er_negative.add((r, e))
",0,0,0,0
sentry,https://github.com/getsentry/sentry/tree/master/tests/sentry/grouping/test_categorization.py,,track_enhancers_coverage$130,used_filenames = {i.filename for inputs in used_inputs.values() for i in inputs},used_filenames = {i.filename for inputs in used_inputs.values() for i in inputs},used_filenames = {i.filename for inputs in used_inputs.values() for i in inputs},"used_filenames = set()
for inputs in used_inputs.values():
    for i in inputs:
        used_filenames.add(i.filename)
",0,0,0,0
sentry,https://github.com/getsentry/sentry/tree/master/src/sentry/ingest/ingest_consumer.py,,get_ingest_consumer$426,topic_names = {ConsumerType.get_topic_name(consumer_type) for consumer_type in consumer_types},topic_names = {ConsumerType.get_topic_name(consumer_type) for consumer_type in consumer_types},topic_names = {ConsumerType.get_topic_name(consumer_type) for consumer_type in consumer_types},"topic_names = set()
for consumer_type in consumer_types:
    topic_names.add(ConsumerType.get_topic_name(consumer_type))
",0,0,0,0
checkmk,https://github.com/tribe29/checkmk/tree/master/tests/unit/cmk/utils/bi/test_bi_search.py,,test_host_search$69,hostnames = {x['$HOSTNAME$'] for x in results},hostnames = {x['$HOSTNAME$'] for x in results},hostnames = {x['$HOSTNAME$'] for x in results},"hostnames = set()
for x in results:
    hostnames.add(x['$HOSTNAME$'])
",0,0,0,0
PythonProgrammingPuzzles,https://github.com/microsoft/PythonProgrammingPuzzles/tree/master/generators/conways_game_of_life.py,Spaceship,sat$156,target = {z * len(live) - init_tot for z in live},target = {z * len(live) - init_tot for z in live},target = {z * len(live) - init_tot for z in live},"target = set()
for z in live:
    target.add(z * len(live) - init_tot)
",0,0,0,0
metaflow,https://github.com/Netflix/metaflow/tree/master/test/data/s3/test_s3.py,,test_put_files$721,"assert {s3obj.key for s3obj in s3objs} == {key for (key, _) in blobs}","{s3obj.key for s3obj in s3objs} == {key for (key, _) in blobs}","{s3obj.key for s3obj in s3objs} == {key for (key, _) in blobs}","tmp_SetComp0 = set()
for s3obj in s3objs:
    tmp_SetComp0.add(s3obj.key)
assert tmp_SetComp0 == {key for (key, _) in blobs}",1,0,1,0
Montreal-Forced-Aligner,https://github.com/MontrealCorpusTools/Montreal-Forced-Aligner/tree/master/montreal_forced_aligner/data.py,PhoneSetType,vowels$842,base_vowels |= {x + '' for x in base_vowels},base_vowels |= {x + '' for x in base_vowels},base_vowels |= {x + '' for x in base_vowels},"tmp_SetComp0 = set()
for x in base_vowels:
    tmp_SetComp0.add(x + '')
base_vowels |= tmp_SetComp0",1,0,1,0
rotki,https://github.com/rotki/rotki/tree/master/rotkehlchen/tests/db/test_db_upgrades.py,,test_upgrade_db_31_to_32$414,old_ids = {row[0] for row in result},old_ids = {row[0] for row in result},old_ids = {row[0] for row in result},"old_ids = set()
for row in result:
    old_ids.add(row[0])
",0,0,0,0
detectron2,https://github.com/facebookresearch/detectron2/tree/master/dev/packaging/gen_install_table.py,,if_main_my$32,"torch_versions = sorted({k[0] for k in all_versions}, key=lambda x: int(x.split('.')[1]), reverse=True)","sorted({k[0] for k in all_versions}, key=lambda x: int(x.split('.')[1]), reverse=True)","sorted({k[0] for k in all_versions}, key=lambda x: int(x.split('.')[1]), reverse=True)","tmp_SetComp0 = set()
for k in all_versions:
    tmp_SetComp0.add(k[0])
torch_versions = sorted(tmp_SetComp0, key=lambda x: int(x.split('.')[1]), reverse=True)",1,0,1,0
astropy,https://github.com/astropy/astropy/tree/master/astropy/coordinates/sky_coordinate.py,SkyCoord,guess_from_table$2076,matches = {col_name for col_name in table.colnames if rex.match(col_name)},matches = {col_name for col_name in table.colnames if rex.match(col_name)},matches = {col_name for col_name in table.colnames if rex.match(col_name)},"matches = set()
for col_name in table.colnames:
    if rex.match(col_name):
        matches.add(col_name)
",0,0,0,0
pytext,https://github.com/facebookresearch/pytext/tree/master/pytext/config/serialize.py,,config_from_json$190,unknown_fields = set(json_obj) - {f[0] for f in cls.__annotations__.items()} - {cls_name_wo_config},set(json_obj) - {f[0] for f in cls.__annotations__.items()},set(json_obj) - {f[0] for f in cls.__annotations__.items()},"tmp_SetComp0 = set()
for f in cls.__annotations__.items():
    tmp_SetComp0.add(f[0])
unknown_fields = set(json_obj) - tmp_SetComp0 - {cls_name_wo_config}",1,0,1,0
strawberry,https://github.com/strawberry-graphql/strawberry/tree/master/strawberry/ext/mypy_plugin.py,,strawberry_pydantic_class_callback$381,potentially_missing_fields: Set['PydanticModelField'] = {f for f in pydantic_fields if f.name not in new_strawberry_fields},potentially_missing_fields: Set['PydanticModelField'] = {f for f in pydantic_fields if f.name not in new_strawberry_fields},potentially_missing_fields: Set['PydanticModelField'] = {f for f in pydantic_fields if f.name not in new_strawberry_fields},"potentially_missing_fields = set()
for f in pydantic_fields:
    if f.name not in new_strawberry_fields:
        potentially_missing_fields.add(f)
",0,0,0,0
MACHIN3tools,https://github.com/machin3io/MACHIN3tools/tree/master/operators/group.py,Group,group$70,selected_empties = {obj for obj in sel if obj.M3.is_group_empty},selected_empties = {obj for obj in sel if obj.M3.is_group_empty},selected_empties = {obj for obj in sel if obj.M3.is_group_empty},"selected_empties = set()
for obj in sel:
    if obj.M3.is_group_empty:
        selected_empties.add(obj)
",0,0,0,0
pydicom,https://github.com/pydicom/pydicom/tree/master/pydicom/sr/codedict.py,_CID_Dict,__dir__$61,"props = {v[0] for v in inspect.getmembers(type(self), inspect.isdatadescriptor)}","props = {v[0] for v in inspect.getmembers(type(self), inspect.isdatadescriptor)}","props = {v[0] for v in inspect.getmembers(type(self), inspect.isdatadescriptor)}","props = set()
for v in inspect.getmembers(type(self), inspect.isdatadescriptor):
    props.add(v[0])
",0,0,0,0
gprof2dot,https://github.com/jrfonseca/gprof2dot/tree/master//gprof2dot.py,Profile,prune_leaf$364,"frontier = frontier.union({(new_node, node_depth - 1) for new_node in newNodes})","frontier.union({(new_node, node_depth - 1) for new_node in newNodes})","frontier.union({(new_node, node_depth - 1) for new_node in newNodes})","tmp_SetComp0 = set()
for new_node in newNodes:
    tmp_SetComp0.add((new_node, node_depth - 1))
frontier = frontier.union(tmp_SetComp0)",1,0,1,0
weblate,https://github.com/WeblateOrg/weblate/tree/master/weblate/trans/tests/test_commands.py,ImportProjectTest,test_import_main_1$94,"self.assertEqual({c.slug for c in non_linked}, {name, 'glossary'})","self.assertEqual({c.slug for c in non_linked}, {name, 'glossary'})","self.assertEqual({c.slug for c in non_linked}, {name, 'glossary'})","tmp_SetComp0 = set()
for c in non_linked:
    tmp_SetComp0.add(c.slug)
self.assertEqual(tmp_SetComp0, {name, 'glossary'})",1,0,1,0
great_expectations,https://github.com/great-expectations/great_expectations/tree/master/great_expectations/expectations/core/expect_column_values_to_be_in_type_list.py,ExpectColumnValuesToBeInTypeList,_validate_pandas$325,"comp_types = {dtype for dtype in comp_types if isinstance(dtype, pd.core.dtypes.base.ExtensionDtype) == actual_type_is_ext_dtype}","comp_types = {dtype for dtype in comp_types if isinstance(dtype, pd.core.dtypes.base.ExtensionDtype) == actual_type_is_ext_dtype}","comp_types = {dtype for dtype in comp_types if isinstance(dtype, pd.core.dtypes.base.ExtensionDtype) == actual_type_is_ext_dtype}","tmp_SetComp0 = set()
for dtype in comp_types:
    if isinstance(dtype, pd.core.dtypes.base.ExtensionDtype) == actual_type_is_ext_dtype:
        tmp_SetComp0.add(dtype)
comp_types = tmp_SetComp0",1,0,1,0
katrain,https://github.com/sanderland/katrain/tree/master/katrain/core/game.py,BaseGame,neighbours$151,"return {self.board[m.coords[1] + dy][m.coords[0] + dx] for m in moves for (dy, dx) in [(-1, 0), (1, 0), (0, -1), (0, 1)] if 0 <= m.coords[0] + dx < board_size_x and 0 <= m.coords[1] + dy < board_size_y}","return {self.board[m.coords[1] + dy][m.coords[0] + dx] for m in moves for (dy, dx) in [(-1, 0), (1, 0), (0, -1), (0, 1)] if 0 <= m.coords[0] + dx < board_size_x and 0 <= m.coords[1] + dy < board_size_y}","return {self.board[m.coords[1] + dy][m.coords[0] + dx] for m in moves for (dy, dx) in [(-1, 0), (1, 0), (0, -1), (0, 1)] if 0 <= m.coords[0] + dx < board_size_x and 0 <= m.coords[1] + dy < board_size_y}","tmp_SetComp0 = set()
for m in moves:
    for (dy, dx) in [(-1, 0), (1, 0), (0, -1), (0, 1)]:
        if 0 <= m.coords[0] + dx < board_size_x and 0 <= m.coords[1] + dy < board_size_y:
            tmp_SetComp0.add(self.board[m.coords[1] + dy][m.coords[0] + dx])
return tmp_SetComp0",1,0,1,0
pypika,https://github.com/kayak/pypika/tree/master/pypika/queries.py,QueryBuilder,_orderby_sql$1485,selected_aliases = {s.alias for s in self._selects},selected_aliases = {s.alias for s in self._selects},selected_aliases = {s.alias for s in self._selects},"selected_aliases = set()
for s in self._selects:
    selected_aliases.add(s.alias)
",0,0,0,0
checkov,https://github.com/bridgecrewio/checkov/tree/master/tests/terraform/checks/resource/aws/test_EKSPublicAccessCIDR.py,TestEKSPublicAccessCIDR,test$10,passed_check_resources = {c.resource for c in report.passed_checks},passed_check_resources = {c.resource for c in report.passed_checks},passed_check_resources = {c.resource for c in report.passed_checks},"passed_check_resources = set()
for c in report.passed_checks:
    passed_check_resources.add(c.resource)
",0,0,0,0
astropy,https://github.com/astropy/astropy/tree/master/astropy/wcs/tests/test_wcs.py,,test_validate_wcs_tab$503,results_txt = sorted({x.strip() for x in repr(results).splitlines()}),sorted({x.strip() for x in repr(results).splitlines()}),sorted({x.strip() for x in repr(results).splitlines()}),"tmp_SetComp0 = set()
for x in repr(results).splitlines():
    tmp_SetComp0.add(x.strip())
results_txt = sorted(tmp_SetComp0)",1,0,1,0
subliminal,https://github.com/Diaoul/subliminal/tree/master/tests/test_opensubtitles.py,,test_query_query_episode$165,assert {subtitle.id for subtitle in subtitles} == expected_subtitles,{subtitle.id for subtitle in subtitles} == expected_subtitles,{subtitle.id for subtitle in subtitles} == expected_subtitles,"tmp_SetComp0 = set()
for subtitle in subtitles:
    tmp_SetComp0.add(subtitle.id)
assert tmp_SetComp0 == expected_subtitles",1,0,1,0
optuna,https://github.com/optuna/optuna/tree/master/tests/storages_tests/test_storages.py,,test_create_new_trial$299,assert {t.number for t in trials} == set(range(i + 1)),{t.number for t in trials} == set(range(i + 1)),{t.number for t in trials} == set(range(i + 1)),"tmp_SetComp0 = set()
for t in trials:
    tmp_SetComp0.add(t.number)
assert tmp_SetComp0 == set(range(i + 1))",1,0,1,0
building_tools,https://github.com/ranjian0/building_tools/tree/master/btools/building/stairs/stairs_types.py,,extrude_step$150,flat_edges = list({e for f in surrounding_faces for e in f.edges if -0.001 < e.calc_face_angle() < 0.001}),list({e for f in surrounding_faces for e in f.edges if -0.001 < e.calc_face_angle() < 0.001}),list({e for f in surrounding_faces for e in f.edges if -0.001 < e.calc_face_angle() < 0.001}),"tmp_SetComp0 = set()
for f in surrounding_faces:
    for e in f.edges:
        if -0.001 < e.calc_face_angle() < 0.001:
            tmp_SetComp0.add(e)
flat_edges = list(tmp_SetComp0)",1,0,1,0
indico,https://github.com/indico/indico/tree/master/indico/web/forms/fields/itemlists.py,MultiStringField,pre_validate$53,"unique_uuids = {uuid.UUID(item[self.uuid_field], version=4) for item in self.data}","unique_uuids = {uuid.UUID(item[self.uuid_field], version=4) for item in self.data}","unique_uuids = {uuid.UUID(item[self.uuid_field], version=4) for item in self.data}","unique_uuids = set()
for item in self.data:
    unique_uuids.add(uuid.UUID(item[self.uuid_field], version=4))
",0,0,0,0
pydicom,https://github.com/pydicom/pydicom/tree/master/pydicom/fileset.py,FileSet,_parse_records$1365,missing_set = set(records.keys()) - {ii._offset for ii in self._tree},set(records.keys()) - {ii._offset for ii in self._tree},set(records.keys()) - {ii._offset for ii in self._tree},"tmp_SetComp0 = set()
for ii in self._tree:
    tmp_SetComp0.add(ii._offset)
missing_set = set(records.keys()) - tmp_SetComp0",1,0,1,0
