repo_name,file_html,cl,me,complicate_code,simple_code
galaxy,https://github.com/ansible/galaxy/tree/master/lib/galaxy/jobs/runners/util/cli/job/slurm.py,Slurm,job_script_kwargs$23,"for (k, v) in self.params.items():
    if k == 'plugin':
        continue
    try:
        if not k.startswith('-'):
            k = argmap[k]
        scriptargs[k] = v
    except Exception:
        log.warning(f'Unrecognized long argument passed to Slurm CLI plugin: {k}')","for e_target in self.params.items():
    v = e_target[1]
    k = e_target[0]
    if k == 'plugin':
        continue
    try:
        if not k.startswith('-'):
            k = argmap[k]
        scriptargs[k] = v
    except Exception:
        log.warning(f'Unrecognized long argument passed to Slurm CLI plugin: {k}')"
PytorchSSD,https://github.com/lzx1413/PytorchSSD/tree/master/models/FSSD_mobile.py,,multibox$177,"for (i, fea_channel) in enumerate(fea_channels):
    loc_layers += [nn.Conv2d(fea_channel, cfg[i] * 4, kernel_size=3, padding=1)]
    conf_layers += [nn.Conv2d(fea_channel, cfg[i] * num_classes, kernel_size=3, padding=1)]","for e_target in enumerate(fea_channels):
    fea_channel = e_target[1]
    i = e_target[0]
    loc_layers += [nn.Conv2d(fea_channel, cfg[i] * 4, kernel_size=3, padding=1)]
    conf_layers += [nn.Conv2d(fea_channel, cfg[i] * num_classes, kernel_size=3, padding=1)]"
pyro,https://github.com/pyro-ppl/pyro/tree/master/tests/contrib/mue/test_dataloaders.py,,test_biosequencedataset$13,"for (j, s) in enumerate(seqs[i] + include_stop * '*'):
    seq_data_check[i, j, list(alphabet_list).index(s)] = 1","for e_target in enumerate(seqs[i] + include_stop * '*'):
    s = e_target[1]
    j = e_target[0]
    seq_data_check[i, j, list(alphabet_list).index(s)] = 1"
pytest-benchmark,https://github.com/ionelmc/pytest-benchmark/tree/master/src/pytest_benchmark/utils.py,,commonpath$602,"for (i, c) in enumerate(s1):
    if c != s2[i]:
        common = common[:i]
        break
else:
    common = common[:len(s1)]","for e_target in enumerate(s1):
    c = e_target[1]
    i = e_target[0]
    if c != s2[i]:
        common = common[:i]
        break
else:
    common = common[:len(s1)]"
DetectoRS,https://github.com/joe-siyuan-qiao/DetectoRS/tree/master/mmdet/utils/flops_counter.py,,add_flops_counter_hook_function$420,"for (mod_type, counter_hook) in hook_mapping.items():
    if issubclass(type(module), mod_type):
        handle = module.register_forward_hook(counter_hook)
        break","for e_target in hook_mapping.items():
    counter_hook = e_target[1]
    mod_type = e_target[0]
    if issubclass(type(module), mod_type):
        handle = module.register_forward_hook(counter_hook)
        break"
AugLy,https://github.com/facebookresearch/AugLy/tree/master/augly/tests/text_tests/transforms_unit_test.py,,are_equal_metadata$15,"for ((act_k, act_v), (exp_k, exp_v)) in zip(sorted(actual_dict.items(), key=lambda kv: kv[0]), sorted(expected_dict.items(), key=lambda kv: kv[0])):
    if act_k != exp_k:
        return False
    if act_v == exp_v:
        continue
    '\n            Allow relative paths in expected metadata: just check that the end of the\n            actual path matches the expected path\n            '
    if not (isinstance(act_v, str) and isinstance(exp_v, str) and (os.path.normpath(act_v[-len(exp_v):]).split(os.path.sep) == os.path.normpath(exp_v).split(os.path.sep))):
        return False","for e_target in zip(sorted(actual_dict.items(), key=lambda kv: kv[0]), sorted(expected_dict.items(), key=lambda kv: kv[0])):
    exp_v = e_target[1][1]
    exp_k = e_target[1][0]
    act_v = e_target[0][1]
    act_k = e_target[0][0]
    if act_k != exp_k:
        return False
    if act_v == exp_v:
        continue
    '\n            Allow relative paths in expected metadata: just check that the end of the\n            actual path matches the expected path\n            '
    if not (isinstance(act_v, str) and isinstance(exp_v, str) and (os.path.normpath(act_v[-len(exp_v):]).split(os.path.sep) == os.path.normpath(exp_v).split(os.path.sep))):
        return False"
imgaug,https://github.com/aleju/imgaug/tree/master/imgaug/augmenters/geometric.py,AffineCv2,_augment_heatmaps$2778,"for (heatmap_i, arr_aug) in zip(heatmaps, arrs_aug):
    heatmap_i.arr_0to1 = arr_aug","for e_target in zip(heatmaps, arrs_aug):
    arr_aug = e_target[1]
    heatmap_i = e_target[0]
    heatmap_i.arr_0to1 = arr_aug"
open_model_zoo,https://github.com/openvinotoolkit/open_model_zoo/tree/master/tools/accuracy_checker/tests/test_segmentation_metrics.py,TestPixelAccuracy,test_one_class$39,"for (_, evaluation_result) in dispatcher.iterate_metrics(annotations, predictions):
    assert evaluation_result == expected","for e_target in dispatcher.iterate_metrics(annotations, predictions):
    evaluation_result = e_target[1]
    _ = e_target[0]
    assert evaluation_result == expected"
micronet,https://github.com/666DZY666/micronet/tree/master/micronet/compression/quantization/wqaq/iao/bn_fuse/bn_fused_model_test.py,,test_quant_bn_fused_model_train$24,"for (data, target) in testloader:
    if not args.cpu:
        (data, target) = (data.cuda(), target.cuda())
    (data, target) = (Variable(data), Variable(target))
    quant_bn_fused_model_train_output = quant_bn_fused_model_train(data)
    quant_bn_fused_model_train_test_loss += criterion(quant_bn_fused_model_train_output, target).data.item()
    quant_bn_fused_model_train_pred = quant_bn_fused_model_train_output.data.max(1, keepdim=True)[1]
    quant_bn_fused_model_train_correct += quant_bn_fused_model_train_pred.eq(target.data.view_as(quant_bn_fused_model_train_pred)).cpu().sum()","for e_target in testloader:
    target = e_target[1]
    data = e_target[0]
    if not args.cpu:
        (data, target) = (data.cuda(), target.cuda())
    (data, target) = (Variable(data), Variable(target))
    quant_bn_fused_model_train_output = quant_bn_fused_model_train(data)
    quant_bn_fused_model_train_test_loss += criterion(quant_bn_fused_model_train_output, target).data.item()
    quant_bn_fused_model_train_pred = quant_bn_fused_model_train_output.data.max(1, keepdim=True)[1]
    quant_bn_fused_model_train_correct += quant_bn_fused_model_train_pred.eq(target.data.view_as(quant_bn_fused_model_train_pred)).cpu().sum()"
pyradio,https://github.com/coderholic/pyradio/tree/master/pyradio/browser.py,,capitalize_comma_separated_string$108,"for (i, n) in enumerate(sp):
    sp[i] = n.strip().capitalize()","for e_target in enumerate(sp):
    n = e_target[1]
    i = e_target[0]
    sp[i] = n.strip().capitalize()"
python,https://github.com/zhanghe06/python/tree/master/kubernetes/client/models/v1_cross_version_object_reference.py,V1CrossVersionObjectReference,to_dict$136,"for (attr, _) in six.iteritems(self.openapi_types):
    value = getattr(self, attr)
    if isinstance(value, list):
        result[attr] = list(map(lambda x: x.to_dict() if hasattr(x, 'to_dict') else x, value))
    elif hasattr(value, 'to_dict'):
        result[attr] = value.to_dict()
    elif isinstance(value, dict):
        result[attr] = dict(map(lambda item: (item[0], item[1].to_dict()) if hasattr(item[1], 'to_dict') else item, value.items()))
    else:
        result[attr] = value","for e_target in six.iteritems(self.openapi_types):
    _ = e_target[1]
    attr = e_target[0]
    value = getattr(self, attr)
    if isinstance(value, list):
        result[attr] = list(map(lambda x: x.to_dict() if hasattr(x, 'to_dict') else x, value))
    elif hasattr(value, 'to_dict'):
        result[attr] = value.to_dict()
    elif isinstance(value, dict):
        result[attr] = dict(map(lambda item: (item[0], item[1].to_dict()) if hasattr(item[1], 'to_dict') else item, value.items()))
    else:
        result[attr] = value"
few-shot-vid2vid,https://github.com/NVlabs/few-shot-vid2vid/tree/master/data/image_folder.py,,make_dataset$33,"for (root, dnames, fnames) in sorted(os.walk(dir)):
    for fname in fnames:
        if is_image_file(fname):
            path = os.path.join(root, fname)
            images.append(path)","for e_target in sorted(os.walk(dir)):
    fnames = e_target[2]
    dnames = e_target[1]
    root = e_target[0]
    for fname in fnames:
        if is_image_file(fname):
            path = os.path.join(root, fname)
            images.append(path)"
django,https://github.com/django/django/tree/master/tests/template_tests/syntax_tests/i18n/test_blocktranslate.py,,setup$19,"for (tag_name, setup_func) in tags.items():
    if 'tag_name' in signature.parameters:
        setup_func(partial(func, tag_name=tag_name))(self)
    else:
        setup_func(func)(self)","for e_target in tags.items():
    setup_func = e_target[1]
    tag_name = e_target[0]
    if 'tag_name' in signature.parameters:
        setup_func(partial(func, tag_name=tag_name))(self)
    else:
        setup_func(func)(self)"
PathPlanning,https://github.com/zhm-real/PathPlanning/tree/master/Sampling_based_Planning/rrt_2D/batch_informed_trees.py,BITStar,animation$316,"for (v, w) in self.Tree.E:
    plt.plot([v.x, w.x], [v.y, w.y], '-g')","for e_target in self.Tree.E:
    w = e_target[1]
    v = e_target[0]
    plt.plot([v.x, w.x], [v.y, w.y], '-g')"
category_encoders,https://github.com/scikit-learn-contrib/category_encoders/tree/master/category_encoders/one_hot.py,OneHotEncoder,generate_mapping$184,"for (cat_name, class_) in values.iteritems():
    if pd.isna(cat_name) and self.handle_missing == 'return_nan':
        append_nan_to_index = class_
        continue
    if self.use_cat_names:
        n_col_name = str(col) + '_%s' % (cat_name,)
        found_count = found_column_counts.get(n_col_name, 0)
        found_column_counts[n_col_name] = found_count + 1
        n_col_name += '#' * found_count
    else:
        n_col_name = str(col) + '_%s' % (class_,)
    index.append(class_)
    new_columns.append(n_col_name)","for e_target in values.iteritems():
    class_ = e_target[1]
    cat_name = e_target[0]
    if pd.isna(cat_name) and self.handle_missing == 'return_nan':
        append_nan_to_index = class_
        continue
    if self.use_cat_names:
        n_col_name = str(col) + '_%s' % (cat_name,)
        found_count = found_column_counts.get(n_col_name, 0)
        found_column_counts[n_col_name] = found_count + 1
        n_col_name += '#' * found_count
    else:
        n_col_name = str(col) + '_%s' % (class_,)
    index.append(class_)
    new_columns.append(n_col_name)"
django-anymail,https://github.com/anymail/django-anymail/tree/master/anymail/webhooks/mailjet.py,MailjetInboundWebhookView,_construct_mailjet_attachment$173,"for (name, value) in self._flatten_mailjet_headers(part.get('Headers', {})):
    part_headers.add_header(name, value)","for e_target in self._flatten_mailjet_headers(part.get('Headers', {})):
    value = e_target[1]
    name = e_target[0]
    part_headers.add_header(name, value)"
skll,https://github.com/EducationalTestingService/skll/tree/master/skll/data/readers.py,Reader,_sub_read_rows$215,"for (ex_num, (_, _, feat_dict)) in enumerate(self._sub_read(f)):
    yield feat_dict
    if ex_num % 100 == 0:
        self._print_progress(f'{100 * ex_num / total:.8}%')","for e_target in enumerate(self._sub_read(f)):
    feat_dict = e_target[1][2]
    _ = e_target[1][1]
    ex_num = e_target[0]
    yield feat_dict
    if ex_num % 100 == 0:
        self._print_progress(f'{100 * ex_num / total:.8}%')"
aliyun-openapi-python-sdk,https://github.com/aliyun/aliyun-openapi-python-sdk/tree/master/aliyun-python-sdk-alb/aliyunsdkalb/request/v20200616/DissociateAdditionalCertificatesFromListenerRequest.py,DissociateAdditionalCertificatesFromListenerRequest,set_Certificates$52,"for (index1, value1) in enumerate(Certificates):
    if value1.get('CertificateId') is not None:
        self.add_query_param('Certificates.' + str(index1 + 1) + '.CertificateId', value1.get('CertificateId'))","for e_target in enumerate(Certificates):
    value1 = e_target[1]
    index1 = e_target[0]
    if value1.get('CertificateId') is not None:
        self.add_query_param('Certificates.' + str(index1 + 1) + '.CertificateId', value1.get('CertificateId'))"
airflow,https://github.com/apache/airflow/tree/master/airflow/providers/apache/sqoop/hooks/sqoop.py,SqoopHook,_export_cmd$290,"for (key, value) in extra_export_options.items():
    cmd += [f'--{key}']
    if value:
        cmd += [str(value)]","for e_target in extra_export_options.items():
    value = e_target[1]
    key = e_target[0]
    cmd += [f'--{key}']
    if value:
        cmd += [str(value)]"
calamari,https://github.com/Calamari-OCR/calamari/tree/master/calamari_ocr/ocr/dataset/textprocessors/text_synchronizer.py,,synchronize$50,"for (i, text) in enumerate(texts):
    sync.set_all(i, [0, len(text) - 1, len(text)])","for e_target in enumerate(texts):
    text = e_target[1]
    i = e_target[0]
    sync.set_all(i, [0, len(text) - 1, len(text)])"
dask-ml,https://github.com/dask/dask-ml/tree/master/tests/model_selection/test_hyperband.py,,test_params_passed$309,"for (k, v) in params.items():
    if k == 'random_state':
        continue
    assert SHA_params[k] == v","for e_target in params.items():
    v = e_target[1]
    k = e_target[0]
    if k == 'random_state':
        continue
    assert SHA_params[k] == v"
LibCST,https://github.com/Instagram/LibCST/tree/master/libcst/testing/utils.py,,validate_provider_tests$106,"for (member_name, member) in dct.items():
    test_limit = try_get_provider_attr(member_name, member, PROVIDER_TEST_LIMIT_ATTR_NAME)
    if test_limit is not None:
        data = try_get_provider_attr(member_name, member, DATA_PROVIDER_DATA_ATTR_NAME)
        num_tests = len(data) if data else 1
        if num_tests > test_limit:

            def test_replacement(self: Any, member_name: Any=member_name, num_tests: Any=num_tests, test_limit: Any=test_limit) -> None:
                raise AssertionError(f'{member_name} generated {num_tests} tests but the limit is ' + f'{test_limit}. You can increase the number of ' + 'allowed tests by specifying test_limit, but please ' + 'consider whether you really need to test all of ' + 'these combinations.')
            test_replacement.__name__ = member_name
            members_to_replace[member_name] = test_replacement","for e_target in dct.items():
    member = e_target[1]
    member_name = e_target[0]
    test_limit = try_get_provider_attr(member_name, member, PROVIDER_TEST_LIMIT_ATTR_NAME)
    if test_limit is not None:
        data = try_get_provider_attr(member_name, member, DATA_PROVIDER_DATA_ATTR_NAME)
        num_tests = len(data) if data else 1
        if num_tests > test_limit:

            def test_replacement(self: Any, member_name: Any=member_name, num_tests: Any=num_tests, test_limit: Any=test_limit) -> None:
                raise AssertionError(f'{member_name} generated {num_tests} tests but the limit is ' + f'{test_limit}. You can increase the number of ' + 'allowed tests by specifying test_limit, but please ' + 'consider whether you really need to test all of ' + 'these combinations.')
            test_replacement.__name__ = member_name
            members_to_replace[member_name] = test_replacement"
meshio,https://github.com/nschloe/meshio/tree/master/tests/legacy_reader.py,,_read_cells$22,"for (vtk_type, meshio_type) in vtk_to_meshio_type.items():
    os = offsets[np.argwhere(types == vtk_type).transpose()[0]]
    num_cells = len(os)
    if num_cells > 0:
        if meshio_type == 'polygon':
            for idx_cell in range(num_cells):
                num_pts = data[os[idx_cell]]
                cell = data[os[idx_cell] + 1:os[idx_cell] + 1 + num_pts]
                key = meshio_type + str(num_pts)
                if key in cells:
                    cells[key] = np.vstack([cells[key], cell])
                else:
                    cells[key] = cell
        else:
            num_pts = data[os[0]]
            arr = np.empty((num_cells, num_pts), dtype=int)
            for k in range(num_pts):
                arr[:, k] = data[os + k + 1]
            cells[meshio_type] = arr","for e_target in vtk_to_meshio_type.items():
    meshio_type = e_target[1]
    vtk_type = e_target[0]
    os = offsets[np.argwhere(types == vtk_type).transpose()[0]]
    num_cells = len(os)
    if num_cells > 0:
        if meshio_type == 'polygon':
            for idx_cell in range(num_cells):
                num_pts = data[os[idx_cell]]
                cell = data[os[idx_cell] + 1:os[idx_cell] + 1 + num_pts]
                key = meshio_type + str(num_pts)
                if key in cells:
                    cells[key] = np.vstack([cells[key], cell])
                else:
                    cells[key] = cell
        else:
            num_pts = data[os[0]]
            arr = np.empty((num_cells, num_pts), dtype=int)
            for k in range(num_pts):
                arr[:, k] = data[os + k + 1]
            cells[meshio_type] = arr"
salt,https://github.com/saltstack/salt/tree/master/salt/utils/dns.py,,_weighted_order$168,"for (i, w) in enumerate(weights):
    rnd -= w
    if rnd < 0:
        res.append(recs.pop(i)['name'])
        weights.pop(i)
        break","for e_target in enumerate(weights):
    w = e_target[1]
    i = e_target[0]
    rnd -= w
    if rnd < 0:
        res.append(recs.pop(i)['name'])
        weights.pop(i)
        break"
msg-extractor,https://github.com/TeamMsgExtractor/msg-extractor/tree/master/extract_msg/utils.py,,parseType$389,"for (x, y) in enumerate(extras):
    if lengths[x] != len(y):
        logger.warning('Error while parsing multiple type. Expected length {}, got {}. Ignoring.'.format(lengths[x], len(y)))","for e_target in enumerate(extras):
    y = e_target[1]
    x = e_target[0]
    if lengths[x] != len(y):
        logger.warning('Error while parsing multiple type. Expected length {}, got {}. Ignoring.'.format(lengths[x], len(y)))"
auditok,https://github.com/amsehili/auditok/tree/master/tests/test_workers.py,TestWorkers,test_CommandLineWorker$179,"for (i, (det, exp, log_line)) in enumerate(zip(tokenizer.detections, self.expected, log_lines), 1):
    (start, end) = exp
    exp_log_line = log_fmt.format(i, command_format)
    self.assertAlmostEqual(det.start, start)
    self.assertAlmostEqual(det.end, end)
    self.assertEqual(log_line[28:].strip(), exp_log_line)","for e_target in enumerate(zip(tokenizer.detections, self.expected, log_lines), 1):
    log_line = e_target[1][2]
    exp = e_target[1][1]
    det = e_target[1][0]
    i = e_target[0]
    (start, end) = exp
    exp_log_line = log_fmt.format(i, command_format)
    self.assertAlmostEqual(det.start, start)
    self.assertAlmostEqual(det.end, end)
    self.assertEqual(log_line[28:].strip(), exp_log_line)"
Pancakeswap-and-uniswap-trading-bot,https://github.com/aviddot/Pancakeswap-and-uniswap-trading-bot/tree/master/source files/pancakeswap_bot.py,Worker,getprice$504,"for (token_number, eth_address, high, low, activate, stoploss_value, stoploss_activate, trade_with_ERC, trade_with_ETH, fast_token, small_case_name, decimals, balance, price, dollar_balance) in all_token_information:
    if eth_address != '0':
        if priceright == 'sell':
            token1eth = uniswap_wrapper.get_eth_token_input_price(w33.toChecksumAddress(eth_address), threeeth)
            token1eth2 = token1eth / threeeth
            if decimals != 18:
                pricetoken1usd = priceeth / token1eth2 / 10 ** (18 - decimals)
                dollarbalancetoken1 = pricetoken1usd * balance
                all_token_information[token_number - 1] = all_token_information[token_number - 1][:13] + (pricetoken1usd, dollarbalancetoken1)
            else:
                pricetoken1usd = priceeth / token1eth2
                dollarbalancetoken1 = pricetoken1usd * balance
                if eth_address == '0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d':
                    pricetoken1usd = 1.032319
                all_token_information[token_number - 1] = all_token_information[token_number - 1][:13] + (pricetoken1usd, dollarbalancetoken1)
        else:
            token1eth = uniswap_wrapper.get_token_eth_output_price(w33.toChecksumAddress(eth_address), threeeth)
            token1eth2 = token1eth / threeeth
            if decimals != 18:
                pricetoken1usd = priceeth / token1eth2 / 10 ** (18 - decimals)
                dollarbalancetoken1 = pricetoken1usd * balance
                all_token_information[token_number - 1] = all_token_information[token_number - 1][:13] + (pricetoken1usd, dollarbalancetoken1)
            else:
                pricetoken1usd = priceeth / token1eth2
                dollarbalancetoken1 = pricetoken1usd * balance
                if eth_address == '0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d':
                    pricetoken1usd = 1.032319
                all_token_information[token_number - 1] = all_token_information[token_number - 1][:13] + (pricetoken1usd, dollarbalancetoken1)
    else:
        pricetoken1usd = 0
        dollarbalancetoken1 = 0
        all_token_information[token_number - 1] = all_token_information[token_number - 1][:13] + (pricetoken1usd, dollarbalancetoken1)","for e_target in all_token_information:
    dollar_balance = e_target[14]
    price = e_target[13]
    balance = e_target[12]
    decimals = e_target[11]
    small_case_name = e_target[10]
    fast_token = e_target[9]
    trade_with_ETH = e_target[8]
    trade_with_ERC = e_target[7]
    stoploss_activate = e_target[6]
    stoploss_value = e_target[5]
    activate = e_target[4]
    low = e_target[3]
    high = e_target[2]
    eth_address = e_target[1]
    token_number = e_target[0]
    if eth_address != '0':
        if priceright == 'sell':
            token1eth = uniswap_wrapper.get_eth_token_input_price(w33.toChecksumAddress(eth_address), threeeth)
            token1eth2 = token1eth / threeeth
            if decimals != 18:
                pricetoken1usd = priceeth / token1eth2 / 10 ** (18 - decimals)
                dollarbalancetoken1 = pricetoken1usd * balance
                all_token_information[token_number - 1] = all_token_information[token_number - 1][:13] + (pricetoken1usd, dollarbalancetoken1)
            else:
                pricetoken1usd = priceeth / token1eth2
                dollarbalancetoken1 = pricetoken1usd * balance
                if eth_address == '0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d':
                    pricetoken1usd = 1.032319
                all_token_information[token_number - 1] = all_token_information[token_number - 1][:13] + (pricetoken1usd, dollarbalancetoken1)
        else:
            token1eth = uniswap_wrapper.get_token_eth_output_price(w33.toChecksumAddress(eth_address), threeeth)
            token1eth2 = token1eth / threeeth
            if decimals != 18:
                pricetoken1usd = priceeth / token1eth2 / 10 ** (18 - decimals)
                dollarbalancetoken1 = pricetoken1usd * balance
                all_token_information[token_number - 1] = all_token_information[token_number - 1][:13] + (pricetoken1usd, dollarbalancetoken1)
            else:
                pricetoken1usd = priceeth / token1eth2
                dollarbalancetoken1 = pricetoken1usd * balance
                if eth_address == '0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d':
                    pricetoken1usd = 1.032319
                all_token_information[token_number - 1] = all_token_information[token_number - 1][:13] + (pricetoken1usd, dollarbalancetoken1)
    else:
        pricetoken1usd = 0
        dollarbalancetoken1 = 0
        all_token_information[token_number - 1] = all_token_information[token_number - 1][:13] + (pricetoken1usd, dollarbalancetoken1)"
boofuzz,https://github.com/jtpereyda/boofuzz/tree/master/boofuzz/sessions.py,Session,_mutations_contain_duplicate$1536,"for (name1, name2) in itertools.combinations(names, r=2):
    if name1 in name2 or name2 in name1:
        return True","for e_target in itertools.combinations(names, r=2):
    name2 = e_target[1]
    name1 = e_target[0]
    if name1 in name2 or name2 in name1:
        return True"
