repo_name,file_html,cl,me,code,complicate_code,has_break,,
tangent,https://github.com/google/tangent/tree/master/tangent/compile.py,,compile_function$70,"for succ in node.body:
    if isinstance(succ, gast.FunctionDef):
        name = succ.name
        break
else:
    raise ValueError('no function found')","flag_else = 1

for succ in node.body:
    if isinstance(succ, gast.FunctionDef):
        name = succ.name
        flag_else = 0
        break
if flag_else:
    raise ValueError('no function found')",1,FALSE,
stash,https://github.com/ywangd/stash/tree/master/bin/pip.py,PyPIRepository,_determin_hit$1318,"for hit in versions:
    if flags is not None and (not self._dist_flags_allows_release(flags, pkg_data, hit)):
        continue
    if not self._release_matches_py_version(pkg_data, hit):
        continue
    if ver_spec is None or ver_spec.match(hit):
        return hit
else:
    raise PipError('Version not found: {}{}'.format(pkg_name, ver_spec if ver_spec is not None else ''))","for hit in versions:
    if flags is not None and (not self._dist_flags_allows_release(flags, pkg_data, hit)):
        continue
    if not self._release_matches_py_version(pkg_data, hit):
        continue
    if ver_spec is None or ver_spec.match(hit):
        return hit

raise PipError('Version not found: {}{}'.format(pkg_name, ver_spec if ver_spec is not None else ''))
",0,TRUE,
Stino,https://github.com/Robot-Will/Stino/tree/master/libs/serial/rfc2217.py,Serial,get_modem_state$889,"while not timeout.expired():
    time.sleep(0.05)
    if not self._modemstate_timeout.expired():
        break
else:
    if self.logger:
        self.logger.warning('poll for modem state failed')","flag_else = 1

while not timeout.expired():
    time.sleep(0.05)
    if not self._modemstate_timeout.expired():
        flag_else = 0
        break
if flag_else:
    if self.logger:
        self.logger.warning('poll for modem state failed')",1,FALSE,
RsaCtfTool,https://github.com/Ganapati/RsaCtfTool/tree/master/lib/rsalibnum.py,,miller_rabin$110,"while j <= r - 1:
    x = pow(x, 2, n)
    if x == n - 1:
        break
    j += 1
else:
    return False","flag_else = 1

while j <= r - 1:
    x = pow(x, 2, n)
    if x == n - 1:
        flag_else = 0
        break
    j += 1
if flag_else:
    return False",1,FALSE,
ssr-command-client,https://github.com/TyrantLucifer/ssr-command-client/tree/master/shadowsocksr_cli/shadowsocks/crypto/ctypes_openssl.py,,load_openssl$40,"for p in ('crypto', 'eay32', 'libeay32'):
    libcrypto_path = find_library(p)
    if libcrypto_path:
        break
else:
    raise Exception('libcrypto(OpenSSL) not found')","flag_else = 1

for p in ('crypto', 'eay32', 'libeay32'):
    libcrypto_path = find_library(p)
    if libcrypto_path:
        flag_else = 0
        break
if flag_else:
    raise Exception('libcrypto(OpenSSL) not found')",1,FALSE,
xonsh,https://github.com/xonsh/xonsh/tree/master/xonsh/ply/ply/yacc.py,LRGeneratedTable,compute_lookback_includes$2374,"while li < p.len:
    if p.prod[li] in self.grammar.Terminals:
        break
    if p.prod[li] not in nullable:
        break
    li = li + 1
else:
    includes.append((j, t))","flag_else = 1

while li < p.len:
    if p.prod[li] in self.grammar.Terminals:
        flag_else = 0
        break
    if p.prod[li] not in nullable:
        flag_else = 0
        break
    li = li + 1
if flag_else:
    includes.append((j, t))",2,FALSE,
meld,https://github.com/GNOME/meld/tree/master/meld/ui/gtkcompat.py,,append_element$31,"for (class_name, class_state) in pseudo_classes:
    if name == class_name:
        path.iter_set_state(-1, path.iter_get_state(-1) | class_state)
        break
else:
    log.error('Unknown pseudo-class :%s', name)
    pass","flag_else = 1

for (class_name, class_state) in pseudo_classes:
    if name == class_name:
        path.iter_set_state(-1, path.iter_get_state(-1) | class_state)
        flag_else = 0
        break
if flag_else:
    log.error('Unknown pseudo-class :%s', name)
    pass",1,FALSE,
angr,https://github.com/angr/angr/tree/master/angr/sim_type.py,SimCppClassValue,__getitem__$1444,"for f in self._class.fields:
    if isinstance(f, NamedTypeMixin) and f.name is None:
        try:
            return f[k]
        except:
            continue
else:
    return self._values[k]","for f in self._class.fields:
    if isinstance(f, NamedTypeMixin) and f.name is None:
        try:
            return f[k]
        except:
            continue

return self._values[k]
",0,TRUE,
virtualenv,https://github.com/pypa/virtualenv/tree/master/src/virtualenv/discovery/py_info.py,PythonInfo,_check_exe$458,"for item in ['implementation', 'architecture', 'version_info']:
    found = getattr(info, item)
    searched = getattr(self, item)
    if found != searched:
        if item == 'version_info':
            (found, searched) = ('.'.join((str(i) for i in found)), '.'.join((str(i) for i in searched)))
        executable = info.executable
        logging.debug('refused interpreter %s because %s differs %s != %s', executable, item, found, searched)
        if exact is False:
            discovered.append(info)
        break
else:
    return info","flag_else = 1

for item in ['implementation', 'architecture', 'version_info']:
    found = getattr(info, item)
    searched = getattr(self, item)
    if found != searched:
        if item == 'version_info':
            (found, searched) = ('.'.join((str(i) for i in found)), '.'.join((str(i) for i in searched)))
        executable = info.executable
        logging.debug('refused interpreter %s because %s differs %s != %s', executable, item, found, searched)
        if exact is False:
            discovered.append(info)
        flag_else = 0
        break
if flag_else:
    return info",1,FALSE,
llvmlite,https://github.com/numba/llvmlite/tree/master//versioneer.py,,run_command$305,"for c in commands:
    try:
        p = subprocess.Popen([c] + args, cwd=cwd, stdout=subprocess.PIPE, stderr=subprocess.PIPE if hide_stderr else None)
        break
    except EnvironmentError:
        e = sys.exc_info()[1]
        if e.errno == errno.ENOENT:
            continue
        if verbose:
            print('unable to run %s' % args[0])
            print(e)
        return None
else:
    if verbose:
        print('unable to find command, tried %s' % (commands,))
    return None","flag_else = 1

for c in commands:
    try:
        p = subprocess.Popen([c] + args, cwd=cwd, stdout=subprocess.PIPE, stderr=subprocess.PIPE if hide_stderr else None)
        flag_else = 0
        break
    except EnvironmentError:
        e = sys.exc_info()[1]
        if e.errno == errno.ENOENT:
            continue
        if verbose:
            print('unable to run %s' % args[0])
            print(e)
        return None
if flag_else:
    if verbose:
        print('unable to find command, tried %s' % (commands,))
    return None",1,FALSE,
ansible-modules-core,https://github.com/ansible/ansible-modules-core/tree/master/network/nxos/nxos_evpn_global.py,CustomNetworkConfig,add$133,"for child in ancestors[-1].children:
    if child.text == line:
        break
else:
    offset = len(parents) * self.indent
    item = ConfigLine(line)
    item.raw = line.rjust(len(line) + offset)
    item.parents = ancestors
    ancestors[-1].children.append(item)
    self.items.append(item)","flag_else = 1

for child in ancestors[-1].children:
    if child.text == line:
        flag_else = 0
        break
if flag_else:
    offset = len(parents) * self.indent
    item = ConfigLine(line)
    item.raw = line.rjust(len(line) + offset)
    item.parents = ancestors
    ancestors[-1].children.append(item)
    self.items.append(item)",1,FALSE,
checkmk,https://github.com/tribe29/checkmk/tree/master/cmk/base/plugins/agent_based/winperf_if.py,,_normalize_name$375,"for n in names:
    if from_token in n:
        break
else:
    mod_name = mod_name.replace(from_token, to_token).replace('  ', ' ')","flag_else = 1

for n in names:
    if from_token in n:
        flag_else = 0
        break
if flag_else:
    mod_name = mod_name.replace(from_token, to_token).replace('  ', ' ')",1,FALSE,
DDParser,https://github.com/baidu/DDParser/tree/master/ddparser/parser/data_struct/data.py,SequentialSampler,__iter__$140,"for i in range(self.corpus_length):
    batch.append(i)
    if len(batch) == self.batch_size:
        yield batch
        batch = []
else:
    if len(batch):
        yield batch","for i in range(self.corpus_length):
    batch.append(i)
    if len(batch) == self.batch_size:
        yield batch
        batch = []

if len(batch):
    yield batch
",0,TRUE,
openage,https://github.com/SFTtech/openage/tree/master/openage/convert/processor/conversion/aoc/ability_subprocessor.py,AoCAbilitySubprocessor,idle_ability$4036,"for (set_id, items) in gset_lookup_dict.items():
    if civ_id in items[0]:
        graphics_set_id = set_id
        break
else:
    raise Exception(f'No graphics set found for civ id {civ_id}')","flag_else = 1

for (set_id, items) in gset_lookup_dict.items():
    if civ_id in items[0]:
        graphics_set_id = set_id
        flag_else = 0
        break
if flag_else:
    raise Exception(f'No graphics set found for civ id {civ_id}')",1,FALSE,
indico,https://github.com/indico/indico/tree/master/indico/util/decorators.py,cached_classproperty,__get__$29,"for mrotype in objtype.__mro__:
    try:
        value = object.__getattribute__(mrotype, name)
    except AttributeError:
        pass
    else:
        break
else:
    raise AttributeError(name)","flag_else = 1

for mrotype in objtype.__mro__:
    try:
        value = object.__getattribute__(mrotype, name)
    except AttributeError:
        pass
    else:
        flag_else = 0
        break
if flag_else:
    raise AttributeError(name)",1,FALSE,
vispy,https://github.com/vispy/vispy/tree/master/codegen/annotations.py,FunctionAnnotation,is_arg_set$640,"for (line, comment) in self.lines:
    if line.startswith(needle):
        return True
else:
    return False","for (line, comment) in self.lines:
    if line.startswith(needle):
        return True

return False
",0,TRUE,
nova,https://github.com/openstack/nova/tree/master/nova/virt/libvirt/driver.py,LibvirtDriver,_volume_snapshot_delete$3480,"for guest_disk in device_info.devices:
    if guest_disk.root_name != 'disk':
        continue
    if guest_disk.target_dev is None or guest_disk.serial is None:
        continue
    if guest_disk.source_path is None and guest_disk.source_protocol is None:
        continue
    if guest_disk.serial == volume_id:
        my_dev = guest_disk.target_dev
        active_protocol = guest_disk.source_protocol
        active_disk_object = guest_disk
        break
else:
    LOG.debug('Domain XML: %s', xml, instance=instance)
    msg = _(""Disk with id '%s' not found attached to instance."") % volume_id
    raise exception.InternalError(msg)","flag_else = 1

for guest_disk in device_info.devices:
    if guest_disk.root_name != 'disk':
        continue
    if guest_disk.target_dev is None or guest_disk.serial is None:
        continue
    if guest_disk.source_path is None and guest_disk.source_protocol is None:
        continue
    if guest_disk.serial == volume_id:
        my_dev = guest_disk.target_dev
        active_protocol = guest_disk.source_protocol
        active_disk_object = guest_disk
        flag_else = 0
        break
if flag_else:
    LOG.debug('Domain XML: %s', xml, instance=instance)
    msg = _(""Disk with id '%s' not found attached to instance."") % volume_id
    raise exception.InternalError(msg)",1,FALSE,
backtesting.py,https://github.com/kernc/backtesting.py/tree/master/backtesting/lib.py,,resample_apply$201,"while frame and level <= 3:
    frame = frame.f_back
    level += 1
    if isinstance(frame.f_locals.get('self'), Strategy):
        strategy_I = frame.f_locals['self'].I
        break
else:

    def strategy_I(func, *args, **kwargs):
        return func(*args, **kwargs)","flag_else = 1

while frame and level <= 3:
    frame = frame.f_back
    level += 1
    if isinstance(frame.f_locals.get('self'), Strategy):
        strategy_I = frame.f_locals['self'].I
        flag_else = 0
        break
if flag_else:

    def strategy_I(func, *args, **kwargs):
        return func(*args, **kwargs)",1,FALSE,
pyshp,https://github.com/GeospatialPython/pyshp/tree/master//shapefile.py,Shape,__geo_interface__$484,"for part in self.parts:
    if ps == None:
        ps = part
        continue
    else:
        coordinates.append([tuple(p) for p in self.points[ps:part]])
        ps = part
else:
    coordinates.append([tuple(p) for p in self.points[part:]])","for part in self.parts:
    if ps == None:
        ps = part
        continue
    else:
        coordinates.append([tuple(p) for p in self.points[ps:part]])
        ps = part

coordinates.append([tuple(p) for p in self.points[part:]])
",0,TRUE,
DDNS,https://github.com/NewFuture/DDNS/tree/master/dns/cloudflare.py,,get_records$92,"for (k, value) in conditions.items():
    if record.get(k) != value:
        break
else:
    records[zid] = record","flag_else = 1

for (k, value) in conditions.items():
    if record.get(k) != value:
        flag_else = 0
        break
if flag_else:
    records[zid] = record",1,FALSE,
Hitomi-Downloader,https://github.com/KurtBestor/Hitomi-Downloader/tree/master/src/extractor/youtube_downloader.py,Downloader_youtube,read$380,"while videos:
    video = videos[0]
    try:
        video.url()
        break
    except Exception as e:
        e_ = e
        self.print_(print_error(e)[0])
        videos.remove(video)
else:
    raise e_","flag_else = 1

while videos:
    video = videos[0]
    try:
        video.url()
        flag_else = 0
        break
    except Exception as e:
        e_ = e
        self.print_(print_error(e)[0])
        videos.remove(video)
if flag_else:
    raise e_",1,FALSE,
CompilerGym,https://github.com/facebookresearch/CompilerGym/tree/master/tests/fuzzing/llvm_fork_env_fuzz_test.py,,test_fuzz$21,"for _ in range(PRE_FORK_ACTIONS):
    (_, _, done, _) = env.step(env.action_space.sample())
    if done:
        break
else:
    fkd = env.fork()
    try:
        print(env.state)
        assert env.state == fkd.state
        for _ in range(POST_FORK_ACTIONS):
            action = env.action_space.sample()
            (observation_a, reward_a, done_a, _) = env.step(action)
            (observation_b, reward_b, done_b, _) = fkd.step(action)
            print(env.state)
            assert done_a == done_b
            np.testing.assert_array_almost_equal(observation_a, observation_b)
            if reward_a != reward_b:
                pytest.fail(f'Parent environment produced reward {reward_a}, fork produced reward {reward_b}')
            if done_a:
                break
            assert env.state == fkd.state
    finally:
        fkd.close()","flag_else = 1

for _ in range(PRE_FORK_ACTIONS):
    (_, _, done, _) = env.step(env.action_space.sample())
    if done:
        flag_else = 0
        break
if flag_else:
    fkd = env.fork()
    try:
        print(env.state)
        assert env.state == fkd.state
        for _ in range(POST_FORK_ACTIONS):
            action = env.action_space.sample()
            (observation_a, reward_a, done_a, _) = env.step(action)
            (observation_b, reward_b, done_b, _) = fkd.step(action)
            print(env.state)
            assert done_a == done_b
            np.testing.assert_array_almost_equal(observation_a, observation_b)
            if reward_a != reward_b:
                pytest.fail(f'Parent environment produced reward {reward_a}, fork produced reward {reward_b}')
            if done_a:
                break
            assert env.state == fkd.state
    finally:
        fkd.close()",1,FALSE,
pywikibot,https://github.com/wikimedia/pywikibot/tree/master/tests/site_tests.py,SiteSysopTestCase,test_alldeletedrevisions$1977,"for data in gen:
    break
else:
    self.skipTest('{} does not have deleted edits.'.format(myuser))","flag_else = 1

for data in gen:
    flag_else = 0
    break
if flag_else:
    self.skipTest('{} does not have deleted edits.'.format(myuser))",1,FALSE,
KiKit,https://github.com/yaqwsx/KiKit/tree/master/kikit/_version.py,,run_command$70,"for c in commands:
    try:
        dispcmd = str([c] + args)
        p = subprocess.Popen([c] + args, cwd=cwd, env=env, stdout=subprocess.PIPE, stderr=subprocess.PIPE if hide_stderr else None)
        break
    except EnvironmentError:
        e = sys.exc_info()[1]
        if e.errno == errno.ENOENT:
            continue
        if verbose:
            print('unable to run %s' % dispcmd)
            print(e)
        return (None, None)
else:
    if verbose:
        print('unable to find command, tried %s' % (commands,))
    return (None, None)","flag_else = 1

for c in commands:
    try:
        dispcmd = str([c] + args)
        p = subprocess.Popen([c] + args, cwd=cwd, env=env, stdout=subprocess.PIPE, stderr=subprocess.PIPE if hide_stderr else None)
        flag_else = 0
        break
    except EnvironmentError:
        e = sys.exc_info()[1]
        if e.errno == errno.ENOENT:
            continue
        if verbose:
            print('unable to run %s' % dispcmd)
            print(e)
        return (None, None)
if flag_else:
    if verbose:
        print('unable to find command, tried %s' % (commands,))
    return (None, None)",1,FALSE,
bpytop,https://github.com/aristocratos/bpytop/tree/master//bpytop.py,MemCollector,_collect$3268,"for names in io_counters:
    if names in dev_name:
        disk_io = io_counters[names]
        break
else:
    if cls.diskutil_map:
        for (names, items) in cls.diskutil_map.items():
            if items in dev_name and names in io_counters:
                disk_io = io_counters[names]","flag_else = 1

for names in io_counters:
    if names in dev_name:
        disk_io = io_counters[names]
        flag_else = 0
        break
if flag_else:
    if cls.diskutil_map:
        for (names, items) in cls.diskutil_map.items():
            if items in dev_name and names in io_counters:
                disk_io = io_counters[names]",1,FALSE,
gallery-dl,https://github.com/mikf/gallery-dl/tree/master/gallery_dl/extractor/oauth.py,OAuthMastodon,items$318,"for application in mastodon.INSTANCES.values():
    if self.instance == application['root'].partition('://')[2]:
        break
else:
    application = self._register(self.instance)","flag_else = 1

for application in mastodon.INSTANCES.values():
    if self.instance == application['root'].partition('://')[2]:
        flag_else = 0
        break
if flag_else:
    application = self._register(self.instance)",1,FALSE,
moto,https://github.com/spulec/moto/tree/master/moto/sqs/models.py,Queue,_setup_dlq$334,"for queue in sqs_backends[self.region].queues.values():
    if queue.queue_arn == self.redrive_policy['deadLetterTargetArn']:
        self.dead_letter_queue = queue
        if self.fifo_queue and (not queue.fifo_queue):
            raise RESTError('InvalidParameterCombination', 'Fifo queues cannot use non fifo dead letter queues')
        break
else:
    raise RESTError('AWS.SimpleQueueService.NonExistentQueue', 'Could not find DLQ for {0}'.format(self.redrive_policy['deadLetterTargetArn']))","flag_else = 1

for queue in sqs_backends[self.region].queues.values():
    if queue.queue_arn == self.redrive_policy['deadLetterTargetArn']:
        self.dead_letter_queue = queue
        if self.fifo_queue and (not queue.fifo_queue):
            raise RESTError('InvalidParameterCombination', 'Fifo queues cannot use non fifo dead letter queues')
        flag_else = 0
        break
if flag_else:
    raise RESTError('AWS.SimpleQueueService.NonExistentQueue', 'Could not find DLQ for {0}'.format(self.redrive_policy['deadLetterTargetArn']))",1,FALSE,
celery,https://github.com/celery/celery/tree/master/t/unit/worker/test_strategy.py,test_default_strategy_proto2,test_log_task_received_custom$183,"for record in caplog.records:
    if record.msg == custom_fmt:
        assert set(record.args) == {'id', 'name', 'kwargs', 'args'}
        break
else:
    raise ValueError('Expected message not in captured log records')","flag_else = 1

for record in caplog.records:
    if record.msg == custom_fmt:
        assert set(record.args) == {'id', 'name', 'kwargs', 'args'}
        flag_else = 0
        break
if flag_else:
    raise ValueError('Expected message not in captured log records')",1,FALSE,
integrations-core,https://github.com/DataDog/integrations-core/tree/master/datadog_checks_dev/datadog_checks/dev/tooling/commands/validate/imports.py,,imports$61,"for check_name in checks:
    validation_fails = {}
    echo_debug(f'Checking {check_name}')
    for fpath in get_check_files(check_name):
        (success, lines) = validate_import(fpath, check_name, autofix)
        if not success:
            failed = True
            validation_fails[fpath] = lines
    if validation_fails:
        num_files = len(validation_fails)
        num_failures = sum((len(lines) for lines in validation_fails.values()))
        header_message = f'\nValidation failed: {num_failures} deprecated imports found in {num_files} files:\n'
        echo_failure(header_message)
        for (f, lines) in validation_fails.items():
            for line in lines:
                (linenum, linetext) = line
                echo_warning(f'{f}: line # {linenum + 1}', indent='  ')
                echo_info(f'{linetext}', indent='    ')
                message = 'Detected deprecated import: `{}`, run ""ddev validate imports --autofix"" to fix.'.format(linetext.strip('\n'))
                annotate_error(f, message, line=linenum + 1)
    if failed:
        abort()
else:
    echo_success('Validation passed!')","for check_name in checks:
    validation_fails = {}
    echo_debug(f'Checking {check_name}')
    for fpath in get_check_files(check_name):
        (success, lines) = validate_import(fpath, check_name, autofix)
        if not success:
            failed = True
            validation_fails[fpath] = lines
    if validation_fails:
        num_files = len(validation_fails)
        num_failures = sum((len(lines) for lines in validation_fails.values()))
        header_message = f'\nValidation failed: {num_failures} deprecated imports found in {num_files} files:\n'
        echo_failure(header_message)
        for (f, lines) in validation_fails.items():
            for line in lines:
                (linenum, linetext) = line
                echo_warning(f'{f}: line # {linenum + 1}', indent='  ')
                echo_info(f'{linetext}', indent='    ')
                message = 'Detected deprecated import: `{}`, run ""ddev validate imports --autofix"" to fix.'.format(linetext.strip('\n'))
                annotate_error(f, message, line=linenum + 1)
    if failed:
        abort()

echo_success('Validation passed!')
",0,TRUE,
espnet,https://github.com/espnet/espnet/tree/master/espnet2/utils/config_argparse.py,ArgumentParser,parse_known_args$24,"for action in self._actions:
    if key == action.dest:
        break
else:
    self.error(f'unrecognized arguments: {key} (from {_args.config})')","flag_else = 1

for action in self._actions:
    if key == action.dest:
        flag_else = 0
        break
if flag_else:
    self.error(f'unrecognized arguments: {key} (from {_args.config})')",1,FALSE,
pyload,https://github.com/pyload/pyload/tree/master/src/pyload/plugins/accounts/ExtmatrixCom.py,ExtmatrixCom,signin$42,"for i in range(5):
    m = re.search('<img src=""(.+?captcha\\.php.+?)""', html)
    if m is None:
        self.fail_login('Captcha pattern not found')
    captcha_url = urllib.parse.urljoin('https://www.extmatrix.com/', m.group(1))
    self.captcha = BaseCaptcha(pyfile)
    captcha_response = self.captcha.decrypt(captcha_url)
    html = self.load('https://www.extmatrix.com/login.php', post={'user': user, 'pass': password, 'submit': 'Login', 'task': 'dologin', 'return=': './members/myfiles.php', 'captcha': captcha_response})
    if 'Incorrect captcha code' in html:
        self.captcha.invalid()
    else:
        self.captcha.correct()
        break
else:
    self.fail_login(self._('Max captcha retries reached'))","flag_else = 1

for i in range(5):
    m = re.search('<img src=""(.+?captcha\\.php.+?)""', html)
    if m is None:
        self.fail_login('Captcha pattern not found')
    captcha_url = urllib.parse.urljoin('https://www.extmatrix.com/', m.group(1))
    self.captcha = BaseCaptcha(pyfile)
    captcha_response = self.captcha.decrypt(captcha_url)
    html = self.load('https://www.extmatrix.com/login.php', post={'user': user, 'pass': password, 'submit': 'Login', 'task': 'dologin', 'return=': './members/myfiles.php', 'captcha': captcha_response})
    if 'Incorrect captcha code' in html:
        self.captcha.invalid()
    else:
        self.captcha.correct()
        flag_else = 0
        break
if flag_else:
    self.fail_login(self._('Max captcha retries reached'))",1,FALSE,
nvda,https://github.com/nvaccess/nvda/tree/master/appveyor/mozillaSyms.py,,upload$83,"for i in range(7):
    if i > 0:
        print('Sleeping for 15 seconds before next attempt.')
        import time
        time.sleep(15)
    try:
        r = requests.post(URL, files={'symbols.zip': open(ZIP_FILE, 'rb')}, headers={'Auth-Token': os.getenv('mozillaSymsAuthToken')}, allow_redirects=False)
        break
    except Exception as e:
        print(f'Attempt {i + 1} failed: {e!r}')
        errors.append(repr(e))
else:
    allErrors = '\n'.join((f'Attempt {index + 1} error: \n{e}' for (index, e) in enumerate(errors)))
    raise RuntimeError(allErrors)","flag_else = 1

for i in range(7):
    if i > 0:
        print('Sleeping for 15 seconds before next attempt.')
        import time
        time.sleep(15)
    try:
        r = requests.post(URL, files={'symbols.zip': open(ZIP_FILE, 'rb')}, headers={'Auth-Token': os.getenv('mozillaSymsAuthToken')}, allow_redirects=False)
        flag_else = 0
        break
    except Exception as e:
        print(f'Attempt {i + 1} failed: {e!r}')
        errors.append(repr(e))
if flag_else:
    allErrors = '\n'.join((f'Attempt {index + 1} error: \n{e}' for (index, e) in enumerate(errors)))
    raise RuntimeError(allErrors)",1,FALSE,
klein,https://github.com/twisted/klein/tree/master/src/klein/_app.py,Klein,__get__$252,"for name in dir(owner):
    obj = getattr(owner, name, None)
    if obj is self:
        self._boundAs = name
        break
else:
    self._boundAs = 'unknown_' + str(id(self))","flag_else = 1

for name in dir(owner):
    obj = getattr(owner, name, None)
    if obj is self:
        self._boundAs = name
        flag_else = 0
        break
if flag_else:
    self._boundAs = 'unknown_' + str(id(self))",1,FALSE,
