repo_name,file_html,cl,me,simple_code,cmplete_code,count_tmp,count_targets,count_star_total,count_tmp_func,
PaddleX,https://github.com/PaddlePaddle/PaddleX/tree/master/paddlex/ppdet/modeling/transformers/deformable_transformer.py,MSDeformableAttention,forward$93,"(bs, Len_q) = query.shape[:2]","bs = query.shape[:2][0]
Len_q = query.shape[:2][1]
",0,0,0,0,
pychess,https://github.com/pychess/pychess/tree/master/lib/pychess/Savers/pgn.py,,parseTimeControlTag$106,"(moves, secs) = match.groups()","tmp_fun_0 = match.groups()
moves = tmp_fun_0[0]
secs = tmp_fun_0[1]
",0,0,0,1,
plaso,https://github.com/log2timeline/plaso/tree/master/plaso/parsers/sqlite_plugins/gdrive.py,GoogleDrivePlugin,GetCloudPath$204,"(parent_path, parent_id) = cloud_path.get(parent_id, ['', ''])","tmp_fun_0 = cloud_path.get(parent_id, ['', ''])
parent_path = tmp_fun_0[0]
parent_id = tmp_fun_0[1]
",0,0,0,1,
asteroid,https://github.com/asteroid-team/asteroid/tree/master/egs/demask/train.py,,if_main_my$132,"(arg_dic, plain_args) = parse_args_as_dict(parser, return_plain_args=True)","tmp_fun_0 = parse_args_as_dict(parser, return_plain_args=True)
arg_dic = tmp_fun_0[0]
plain_args = tmp_fun_0[1]
",0,0,0,1,
Ulauncher,https://github.com/Ulauncher/Ulauncher/tree/master/tests/ui/windows/test_HotkeyDialog.py,TestHotkeyDialog,test_on_key_press__valid_hotkey$36,"(key, mode) = Gtk.accelerator_parse(return_accel_name)","tmp_fun_0 = Gtk.accelerator_parse(return_accel_name)
key = tmp_fun_0[0]
mode = tmp_fun_0[1]
",0,0,0,1,
jcvi,https://github.com/tanghaibao/jcvi/tree/master/jcvi/annotation/reformat.py,,instantiate$301,"(name, tag) = nametag.split('|')","tmp_fun_0 = nametag.split('|')
name = tmp_fun_0[0]
tag = tmp_fun_0[1]
",0,0,0,1,
rows,https://github.com/turicas/rows/tree/master/rows/plugins/plugin_pdf.py,PDFMinerBackend,convert_object$251,"(x0, x1) = (obj.x0, obj.x1)","x0 = obj.x0
x1 = obj.x1
",0,0,0,0,
trezor-firmware,https://github.com/trezor/trezor-firmware/tree/master/python/src/trezorlib/cardano.py,,parse_certificate$379,"(path, script_hash, key_hash) = _parse_credential(certificate, CERTIFICATE_MISSING_FIELDS_ERROR)","tmp_fun_0 = _parse_credential(certificate, CERTIFICATE_MISSING_FIELDS_ERROR)
path = tmp_fun_0[0]
script_hash = tmp_fun_0[1]
key_hash = tmp_fun_0[2]
",0,0,0,1,
MLAlgorithms,https://github.com/rushter/MLAlgorithms/tree/master/examples/nnet_rnn_binary_add.py,,addition_problem$54,"(X_train, X_test, y_train, y_test) = addition_dataset(8, 5000)","tmp_fun_0 = addition_dataset(8, 5000)
X_train = tmp_fun_0[0]
X_test = tmp_fun_0[1]
y_train = tmp_fun_0[2]
y_test = tmp_fun_0[3]
",0,0,0,1,
ldap3,https://github.com/cannatag/ldap3/tree/master/test/testMockSyncStrategy.py,Test,test_search_presence_and_filter_3$1101,"(response, result) = self.connection_3.get_response(result)","tmp_fun_0 = self.connection_3.get_response(result)
response = tmp_fun_0[0]
result = tmp_fun_0[1]
",0,0,0,1,
i3pystatus,https://github.com/enkore/i3pystatus/tree/master/tests/test_shell.py,ShellModuleMetaTest,test_shell_correct_output$15,"(retcode, out, err) = run_through_shell(""echo '%s'"" % self.valid_output, enable_shell=True)","tmp_fun_0 = run_through_shell(""echo '%s'"" % self.valid_output, enable_shell=True)
retcode = tmp_fun_0[0]
out = tmp_fun_0[1]
err = tmp_fun_0[2]
",0,0,0,1,
detectron2,https://github.com/facebookresearch/detectron2/tree/master/detectron2/export/shared.py,,fuse_copy_between_cpu_and_gpu$952,"(next_op_id, inp_id) = consumer_map[rs_copy_versioned_output][0]","next_op_id = consumer_map[rs_copy_versioned_output][0][0]
inp_id = consumer_map[rs_copy_versioned_output][0][1]
",0,0,0,0,
YAD2K,https://github.com/allanzelener/YAD2K/tree/master/voc_conversion_scripts/voc_to_tfrecords.py,,process_dataset$149,"(image_data, height, width) = process_image(image_file)","tmp_fun_0 = process_image(image_file)
image_data = tmp_fun_0[0]
height = tmp_fun_0[1]
width = tmp_fun_0[2]
",0,0,0,1,
CrossHair,https://github.com/pschanely/CrossHair/tree/master/crosshair/libimpl/datetimelib.py,,_format_offset$189,"(mm, ss) = divmod(mm, timedelta(minutes=1))","tmp_fun_0 = divmod(mm, timedelta(minutes=1))
mm = tmp_fun_0[0]
ss = tmp_fun_0[1]
",0,0,0,1,
ansible-modules-core,https://github.com/ansible/ansible-modules-core/tree/master/cloud/amazon/ec2_group.py,,make_rule_key$144,"(proto, from_port, to_port) = [rule.get(x, None) for x in ('proto', 'from_port', 'to_port')]","tmp_fun_0 = [rule.get(x, None) for x in ('proto', 'from_port', 'to_port')]
proto = tmp_fun_0[0]
from_port = tmp_fun_0[1]
to_port = tmp_fun_0[2]
",0,0,0,1,
scipy,https://github.com/scipy/scipy/tree/master/scipy/signal/tests/test_filter_design.py,TestGammatone,test_iir_symmetry$4067,"(b, a) = gammatone(440, 'iir', fs=24000)","tmp_fun_0 = gammatone(440, 'iir', fs=24000)
b = tmp_fun_0[0]
a = tmp_fun_0[1]
",0,0,0,1,
numpy,https://github.com/numpy/numpy/tree/master/numpy/lib/tests/test_histograms.py,TestHistogram,test_one_bin$32,"(h, e) = histogram([1, 2], bins=1)","tmp_fun_0 = histogram([1, 2], bins=1)
h = tmp_fun_0[0]
e = tmp_fun_0[1]
",0,0,0,1,
sparrow,https://github.com/wylok/sparrow/tree/master/operation/assets_manage.py,,assets_manage$22,"(ip, ssh_port) = info.split(':')","tmp_fun_0 = info.split(':')
ip = tmp_fun_0[0]
ssh_port = tmp_fun_0[1]
",0,0,0,1,
rpaframework,https://github.com/robocorp/rpaframework/tree/master/packages/main/src/RPA/Tables.py,,uniq$91,"(seen, result) = ({}, [])","seen = {}
result = []
",0,0,0,0,
pandas,https://github.com/pandas-dev/pandas/tree/master/pandas/tests/frame/methods/test_sample.py,TestSample,test_sample$23,"(os1, os2) = ([], [])","os1 = []
os2 = []
",0,0,0,0,
DeepPavlov,https://github.com/deepmipt/DeepPavlov/tree/master/deeppavlov/models/ner/network.py,NerNetwork,train_on_batch$315,"(*xs, y) = args","xs = args[0:-1]
y = args[1]
",0,0,1,0,
fastformers,https://github.com/microsoft/fastformers/tree/master/src/transformers/modeling_bart.py,BartForQuestionAnswering,forward$1155,"(start_logits, end_logits) = logits.split(1, dim=-1)","tmp_fun_0 = logits.split(1, dim=-1)
start_logits = tmp_fun_0[0]
end_logits = tmp_fun_0[1]
",0,0,0,1,
cement,https://github.com/datafolklabs/cement/tree/master/scripts/devtools.py,CementDevtoolsController,_do_git$40,"(out, err, res) = shell.exec_cmd(['git', 'status'])","tmp_fun_0 = shell.exec_cmd(['git', 'status'])
out = tmp_fun_0[0]
err = tmp_fun_0[1]
res = tmp_fun_0[2]
",0,0,0,1,
GitSavvy,https://github.com/timbrel/GitSavvy/tree/master/core/commands/log_graph_rebase_actions.py,gs_rebase_action,run$143,"(description, action) = actions[index]","description = actions[index][0]
action = actions[index][1]
",0,0,0,0,
deocclusion,https://github.com/XiaohangZhan/deocclusion/tree/master/models/partial_completion_content.py,PartialCompletionContent,step$76,"(output, _) = self.model(self.rgb, self.visible_mask3)","tmp_fun_0 = self.model(self.rgb, self.visible_mask3)
output = tmp_fun_0[0]
_ = tmp_fun_0[1]
",0,0,0,1,
pycorrector,https://github.com/shibing624/pycorrector/tree/master/pycorrector/__main__.py,,main$14,"(corrected_sent, info) = pycorrector.correct(line)","tmp_fun_0 = pycorrector.correct(line)
corrected_sent = tmp_fun_0[0]
info = tmp_fun_0[1]
",0,0,0,1,
doit,https://github.com/pydoit/doit/tree/master/tests/test_cmdparse.py,TestCommand,test_getOption$262,"(opt, is_inverse) = cmd.get_option('--achoice')","tmp_fun_0 = cmd.get_option('--achoice')
opt = tmp_fun_0[0]
is_inverse = tmp_fun_0[1]
",0,0,0,1,
pygorithm,https://github.com/OmkarPathak/pygorithm/tree/master/tests/test_geometry.py,TestExtrapolatedIntersection,test_line_line_no_intr$1608,"(intr, dist, msg) = fn(((1, 4), (1, 3)), (1, 0), ((1, 1), (3, 2)))","tmp_fun_0 = fn(((1, 4), (1, 3)), (1, 0), ((1, 1), (3, 2)))
intr = tmp_fun_0[0]
dist = tmp_fun_0[1]
msg = tmp_fun_0[2]
",0,0,0,1,
angr,https://github.com/angr/angr/tree/master/angr/engines/vex/claripy/ccall.py,,x86g_calculate_RCR$1078,"(carry_bit_out, overflow_bit_out, arg_out) = generic_rotate_with_carry(state, False, arg, rot_amt, carry_bit_in, sz)","tmp_fun_0 = generic_rotate_with_carry(state, False, arg, rot_amt, carry_bit_in, sz)
carry_bit_out = tmp_fun_0[0]
overflow_bit_out = tmp_fun_0[1]
arg_out = tmp_fun_0[2]
",0,0,0,1,
AI-System,https://github.com/microsoft/AI-System/tree/master/Labs/AdvancedLabs/Lab8/hpo/main.py,,cutout_fn$44,"(h, w) = (img.size(1), img.size(2))","h = img.size(1)
w = img.size(2)
",0,0,0,0,
angr,https://github.com/angr/angr/tree/master/angr/engines/light/engine.py,SimEngineLightVEXMixin,_handle_CmpEQ_v$706,"(_, _) = self._binop_get_args(expr)","tmp_fun_0 = self._binop_get_args(expr)
_ = tmp_fun_0[0]
_ = tmp_fun_0[1]
",0,0,0,1,
circus,https://github.com/circus-tent/circus/tree/master/circus/tests/test_pidfile.py,TestPidfile,test_pidfile$11,"(fd, path) = tempfile.mkstemp()","tmp_fun_0 = tempfile.mkstemp()
fd = tmp_fun_0[0]
path = tmp_fun_0[1]
",0,0,0,1,
Merlion,https://github.com/salesforce/Merlion/tree/master/tests/forecast/test_smoother.py,TestMSES,test_full$95,"(model, imodel) = (MSES(config), MSES(config))","model = MSES(config)
imodel = MSES(config)
",0,0,0,0,
sympy,https://github.com/sympy/sympy/tree/master/sympy/tensor/tests/test_tensor.py,,test_valued_components_with_wrong_symmetry$1569,"(i0, i1, i2, i3) = tensor_indices('i0:4', IT)","tmp_fun_0 = tensor_indices('i0:4', IT)
i0 = tmp_fun_0[0]
i1 = tmp_fun_0[1]
i2 = tmp_fun_0[2]
i3 = tmp_fun_0[3]
",0,0,0,1,
aiohttp,https://github.com/aio-libs/aiohttp/tree/master/aiohttp/helpers.py,BasicAuth,decode$148,"(username, password) = decoded.split(':', 1)","tmp_fun_0 = decoded.split(':', 1)
username = tmp_fun_0[0]
password = tmp_fun_0[1]
",0,0,0,1,
CellProfiler,https://github.com/CellProfiler/CellProfiler/tree/master/cellprofiler/modules/flipandrotate.py,FlipAndRotate,run$231,"(i, j) = numpy.mgrid[pixel_data.shape[0] - 1:-1:-1, 0:pixel_data.shape[1]]","i = numpy.mgrid[pixel_data.shape[0] - 1:-1:-1, 0:pixel_data.shape[1]][0]
j = numpy.mgrid[pixel_data.shape[0] - 1:-1:-1, 0:pixel_data.shape[1]][1]
",0,0,0,0,
formspree,https://github.com/formspree/formspree/tree/master/tests/test_archive_submissions.py,,test_automatically_created_forms$9,"(newest, last) = secondform.submissions.all()","tmp_fun_0 = secondform.submissions.all()
newest = tmp_fun_0[0]
last = tmp_fun_0[1]
",0,0,0,1,
Paddle,https://github.com/PaddlePaddle/Paddle/tree/master/python/paddle/fluid/tests/unittests/test_conv3d_op.py,,conv3d_forward_naive$25,"(in_n, in_c, in_d, in_h, in_w) = input.shape","in_n = input.shape[0]
in_c = input.shape[1]
in_d = input.shape[2]
in_h = input.shape[3]
in_w = input.shape[4]
",0,0,0,0,
feincms,https://github.com/feincms/feincms/tree/master/feincms/module/medialibrary/fields.py,MediaFileForeignKeyRawIdWidget,label_and_url_for_value$25,"(label, url) = super().label_and_url_for_value(value)","tmp_fun_0 = super().label_and_url_for_value(value)
label = tmp_fun_0[0]
url = tmp_fun_0[1]
",0,0,0,1,
raveberry,https://github.com/raveberry/raveberry/tree/master/core/musiq/song_utils.py,,format_seconds$66,"(hours, seconds) = (seconds // 3600, seconds % 3600)","hours = seconds // 3600
seconds = seconds % 3600
",0,0,0,0,
uncertainty-baselines,https://github.com/google/uncertainty-baselines/tree/master/uncertainty_baselines/models/wide_resnet_hyperbatchensemble.py,,wide_resnet_hyperbatchensemble$198,"(data, lambdas, block_e_list) = inputs","data = inputs[0]
lambdas = inputs[1]
block_e_list = inputs[2]
",0,0,0,0,
scenic,https://github.com/google-research/scenic/tree/master/scenic/train_lib/train_utils.py,,initialize_multitask_model$337,"(init_params, init_model_state) = _initialize_model(rngs)","tmp_fun_0 = _initialize_model(rngs)
init_params = tmp_fun_0[0]
init_model_state = tmp_fun_0[1]
",0,0,0,1,
numpy,https://github.com/numpy/numpy/tree/master/numpy/lib/_iotools.py,StringConverter,__init__$597,"(self._status, (_, func, default_def)) = self._find_map_entry(dtype)","tmp_fun_0 = self._find_map_entry(dtype)
self._status = tmp_fun_0[0]
_ = tmp_fun_0[1][0]
func = tmp_fun_0[1][1]
default_def = tmp_fun_0[1][2]
",0,0,0,1,
music_source_separation,https://github.com/bytedance/music_source_separation/tree/master/bytesep/models/pytorch_modules.py,Subband,synthesis$174,"(batch_size, subband_channels_num, time_steps, subband_freq_bins) = x.shape","batch_size = x.shape[0]
subband_channels_num = x.shape[1]
time_steps = x.shape[2]
subband_freq_bins = x.shape[3]
",0,0,0,0,
gluon-nlp,https://github.com/dmlc/gluon-nlp/tree/master/tests/test_models_gpt2.py,,test_gpt2_small_config$19,"(hiddens, _) = gpt2_model(inputs, gpt2_model.init_states(batch_size, ctx))","tmp_fun_0 = gpt2_model(inputs, gpt2_model.init_states(batch_size, ctx))
hiddens = tmp_fun_0[0]
_ = tmp_fun_0[1]
",0,0,0,1,
textual,https://github.com/willmcgugan/textual/tree/master/src/textual/geometry.py,Region,shrink$704,"(x, y, width, height) = self","x = self[0]
y = self[1]
width = self[2]
height = self[3]
",0,0,0,0,
cats-blender-plugin,https://github.com/absolute-quantum/cats-blender-plugin/tree/master/extern_tools/mmd_tools_local/core/material.py,_FnMaterialCycles,update_sphere_texture_type$441,"(nodes, links) = (mat.node_tree.nodes, mat.node_tree.links)","nodes = mat.node_tree.nodes
links = mat.node_tree.links
",0,0,0,0,
aioredis-py,https://github.com/aio-libs/aioredis-py/tree/master/aioredis/client.py,,parse_scan$448,"(cursor, r) = response","cursor = response[0]
r = response[1]
",0,0,0,0,
magenta,https://github.com/magenta/magenta/tree/master/magenta/contrib/seq2seq.py,,body$409,"(next_outputs, decoder_state, next_inputs, decoder_finished) = decoder.step(time, inputs, state)","tmp_fun_0 = decoder.step(time, inputs, state)
next_outputs = tmp_fun_0[0]
decoder_state = tmp_fun_0[1]
next_inputs = tmp_fun_0[2]
decoder_finished = tmp_fun_0[3]
",0,0,0,1,
PaddleDetection,https://github.com/PaddlePaddle/PaddleDetection/tree/master/ppdet/modeling/backbones/lite_hrnet.py,Stem,forward$473,"(x1, x2) = x.chunk(2, axis=1)","tmp_fun_0 = x.chunk(2, axis=1)
x1 = tmp_fun_0[0]
x2 = tmp_fun_0[1]
",0,0,0,1,
neural-mmo,https://github.com/openai/neural-mmo/tree/master/forge/blade/systems/ai.py,,l1$79,"(r2, c2) = pos2","r2 = pos2[0]
c2 = pos2[1]
",0,0,0,0,
Gerapy,https://github.com/Gerapy/Gerapy/tree/master/gerapy/downloadermiddlewares/pyppeteer.py,PyppeteerMiddleware,process_request$101,"(html, result, status) = self.render(request.url, **self.args)","tmp_fun_0 = self.render(request.url, **self.args)
html = tmp_fun_0[0]
result = tmp_fun_0[1]
status = tmp_fun_0[2]
",0,0,0,1,
Just-Code,https://github.com/YaxeZhang/Just-Code/tree/master/src/0086.partition-list/partition-list.py,Solution,partition$8,dummy2 = other = ListNode(0),"tmp_value = ListNode(0)
dummy2 = tmp_value
other = tmp_value
",0,2,0,0,
